===== wnba_2024_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Arike Ogunbowale,DAL,G,38,1465,38,38,1465,279,729,",383",112,324,",346",167,405,",412",175,190,",921",29,173,195,81,11,103,107,845
Caitlin Clark,IND,G,40,1416,40,40,1416,242,580,",417",122,355,",344",120,225,",533",163,180,",906",14,227,337,53,27,223,111,769
Dearica Hamby,LAS,F,40,1346,40,40,1346,268,523,",512",30,88,",341",238,435,",547",125,198,",631",61,368,139,68,8,118,110,691
Allisha Gray,ATL,G,40,1327,40,40,1327,205,509,",403",69,202,",342",136,307,",443",143,186,",769",44,175,107,42,29,67,94,622
A'ja Wilson,LVA,C,38,1308,38,38,1308,385,743,",518",19,60,",317",366,683,",536",232,275,",844",79,451,88,68,98,48,67,1021
Alyssa Thomas,CON,F,40,1296,40,40,1296,166,326,",509",0,4,",000",166,322,",516",91,145,",628",98,337,317,62,18,145,84,423
Kelsey Plum,LVA,G,38,1291,38,38,1291,232,549,",423",110,299,",368",122,250,",488",103,119,",866",10,98,159,27,1,93,104,677
Kelsey Mitchell,IND,G,40,1280,40,38,1280,282,602,",468",109,271,",402",173,331,",523",94,113,",832",27,99,71,27,7,64,63,767
DeWanna Bonner,CON,G-F,40,1271,40,39,1271,212,511,",415",58,197,",294",154,314,",490",119,143,",832",22,238,80,47,27,56,70,601
Natasha Cloud,PHO,G,38,1265,38,38,1265,152,383,",397",44,143,",308",108,240,",450",90,109,",826",18,154,263,54,23,115,102,438
Skylar Diggins,SEA,G,40,1262,40,40,1262,218,510,",427",39,134,",291",179,376,",476",130,150,",867",28,105,257,68,36,110,112,605
Jewell Loyd,SEA,G,37,1246,37,37,1246,224,622,",360",59,215,",274",165,407,",405",222,252,",881",26,166,135,52,8,85,67,729
Breanna Stewart,NYL,F,38,1243,38,38,1243,265,578,",458",46,156,",295",219,422,",519",201,238,",845",61,323,134,64,48,65,80,777
Kayla McBride,MIN,G,39,1237,39,39,1237,174,414,",420",105,258,",407",69,156,",442",133,149,",893",14,100,126,49,2,79,48,586
Aliyah Boston,IND,C-F,40,1236,40,40,1236,236,446,",529",7,26,",269",229,420,",545",81,110,",736",111,355,126,35,49,79,130,560
Marina Mabrey,TOT,G,40,1235,40,27,1235,214,518,",413",98,260,",377",116,258,",450",49,69,",710",22,174,163,45,17,94,104,575
Sabrina Ionescu,NYL,G,38,1221,38,38,1221,239,606,",394",107,321,",333",132,285,",463",106,118,",898",28,169,235,38,13,104,46,691
Jackie Young,LVA,G,37,1205,37,37,1205,201,467,",430",70,208,",337",131,259,",506",111,128,",867",26,161,197,37,8,78,92,583
Kahleah Copper,PHO,G-F,37,1197,37,37,1197,273,628,",435",69,220,",314",204,408,",500",167,207,",807",24,168,84,29,3,110,121,782
Ariel Atkins,WAS,G,40,1196,40,40,1196,217,497,",437",79,221,",357",138,276,",500",84,99,",848",36,135,124,59,17,92,112,597
Napheesa Collier,MIN,F,34,1181,34,34,1181,268,545,",492",31,100,",310",237,445,",533",127,158,",804",76,330,115,65,48,70,87,694
Nneka Ogwumike,SEA,F,37,1177,37,37,1177,252,493,",511",30,74,",405",222,419,",530",85,97,",876",69,280,86,69,20,49,84,619
Bridget Carleton,MIN,F,39,1164,39,36,1164,126,284,",444",91,205,",444",35,79,",443",30,38,",789",37,147,87,39,12,40,80,373
Jonquel Jones,NYL,C,39,1164,39,39,1164,206,383,",538",59,152,",388",147,231,",636",82,104,",788",67,350,126,30,50,92,113,553
Tina Charles,ATL,C,39,1160,39,39,1160,243,533,",456",11,42,",262",232,491,",473",84,107,",785",97,374,89,36,20,61,96,581
DiJonai Carrington,CON,G-F,39,1155,39,39,1155,173,429,",403",26,104,",250",147,325,",452",124,157,",790",53,196,61,61,17,74,100,496
Rickea Jackson,LAS,F,40,1152,40,35,1152,200,439,",456",43,124,",347",157,315,",498",92,114,",807",51,155,59,27,14,76,70,535
Ezi Magbegor,SEA,F-C,37,1135,37,37,1135,172,336,",512",13,53,",245",159,283,",562",76,87,",874",83,296,74,40,82,53,117,433
Tyasha Harris,CON,G,39,1125,39,38,1125,145,341,",425",60,152,",395",85,189,",450",59,77,",766",10,69,118,40,13,54,66,409
Sophie Cunningham,PHO,G,40,1109,40,21,1109,103,240,",429",68,180,",378",35,60,",583",60,69,",870",16,157,79,41,10,38,91,334
Angel Reese,CHI,F,34,1104,34,34,1104,164,419,",391",3,16,",188",161,403,",400",131,178,",736",172,446,63,44,16,75,119,462
Brionna Jones,CON,F,40,1087,40,40,1087,220,409,",538",2,14,",143",218,395,",552",107,145,",738",86,221,60,46,23,51,106,549
Courtney Williams,MIN,G,40,1061,40,40,1061,194,438,",443",23,69,",333",171,369,",463",34,42,",810",14,186,221,36,16,98,77,445
Diana Taurasi,PHO,G,36,1044,36,36,1044,172,430,",400",86,258,",333",86,172,",500",108,126,",857",13,137,122,22,10,68,92,538
Alanna Smith,MIN,F,39,1035,39,39,1035,147,312,",471",47,118,",398",100,194,",515",54,72,",750",61,219,124,53,57,76,119,395
Rhyne Howard,ATL,G,30,1018,30,29,1018,167,450,",371",80,243,",329",87,207,",420",105,134,",784",25,131,94,54,19,51,63,519
Stefanie Dolson,WAS,C,39,1013,39,39,1013,133,280,",475",72,155,",465",61,125,",488",33,42,",786",33,193,102,21,18,68,114,371
NaLyssa Smith,IND,F,40,990,40,37,990,168,350,",480",14,48,",292",154,302,",510",72,127,",567",72,285,41,30,39,52,107,422
Teaira McCowan,DAL,C,39,983,39,38,983,184,323,",570",1,4,",250",183,319,",574",89,124,",718",112,314,61,34,34,77,117,458
Alysha Clark,LVA,F,40,972,40,18,972,85,192,",443",47,126,",373",38,66,",576",23,28,",821",21,145,70,33,11,55,107,240
Lindsay Allen,CHI,G,40,950,40,28,950,104,223,",466",14,48,",292",90,175,",514",42,52,",808",13,80,157,32,7,64,67,264
Jacy Sheldon,DAL,G,40,931,40,26,931,81,210,",386",30,97,",309",51,113,",451",25,27,",926",27,82,99,23,12,63,101,217
Julie Vanloo,WAS,G,40,926,40,34,926,106,306,",346",72,222,",324",34,84,",405",10,15,",667",5,65,173,19,1,102,86,294
Shatori Walker-Kimbrough,WAS,G,40,883,40,2,883,105,253,",415",35,106,",330",70,147,",476",54,67,",806",13,69,75,42,18,54,40,299
Kamilla Cardoso,CHI,C,32,876,32,29,876,126,242,",521",0,0,0,126,242,",521",61,84,",726",96,254,54,17,46,49,101,313
Jordan Horston,SEA,F,39,871,39,14,871,111,225,",493",13,52,",250",98,173,",566",31,43,",721",47,168,69,50,26,66,73,266
Naz Hillmon,ATL,F,40,868,40,19,868,90,163,",552",1,3,",333",89,160,",556",48,63,",762",64,193,52,28,11,38,54,229
Brittney Griner,PHO,C,30,861,30,30,861,219,378,",579",9,18,",500",210,360,",583",87,112,",777",54,197,69,16,46,53,57,534
Chennedy Carter,CHI,G,33,858,33,20,858,238,489,",487",9,31,",290",229,458,",500",92,126,",730",22,117,102,36,6,55,105,577
Betnijah Laney-Hamilton,NYL,G-F,28,848,28,25,848,120,263,",456",41,102,",402",79,161,",491",48,53,",906",30,118,93,32,1,66,60,329
Monique Billings,TOT,F,37,843,37,14,843,107,230,",465",3,14,",214",104,216,",481",57,71,",803",65,213,53,27,19,65,84,274
Leonie Fiebich,NYL,F,40,837,40,15,837,97,203,",478",55,127,",433",42,76,",553",18,25,",720",39,121,70,38,7,41,88,267
Natasha Howard,DAL,F,27,825,27,26,825,187,410,",456",11,55,",200",176,355,",496",89,124,",718",53,182,78,34,21,76,85,474
Sevgi Uzun,DAL,G,40,820,40,19,820,68,199,",342",20,84,",238",48,115,",417",19,23,",826",9,65,119,37,11,73,60,175
Kia Nurse,LAS,G,40,810,40,27,810,102,263,",388",53,160,",331",49,103,",476",46,58,",793",17,64,53,19,1,49,72,303
Kayla Thornton,NYL,F,40,809,40,11,809,77,203,",379",45,126,",357",32,77,",416",22,26,",846",39,103,27,29,9,23,56,221
Myisha Hines-Allen,TOT,F,40,746,40,11,746,120,244,",492",18,50,",360",102,194,",526",55,66,",833",42,187,102,26,4,56,81,313
Dana Evans,CHI,G,39,743,39,12,743,95,252,",377",41,109,",376",54,143,",378",48,50,",960",5,43,94,26,5,53,48,279
Aaliyah Edwards,WAS,F,34,741,34,17,741,103,210,",490",0,7,",000",103,203,",507",52,80,",650",48,191,48,25,27,50,91,258
Kiah Stokes,LVA,C,39,716,39,29,716,20,62,",323",9,40,",225",11,22,",500",6,9,",667",23,184,28,21,33,15,68,55
Haley Jones,ATL,F-G,40,712,40,24,712,58,146,",397",6,28,",214",52,118,",441",33,47,",702",10,88,84,14,11,68,80,155
Karlie Samuelson,WAS,G,29,711,29,19,711,79,193,",409",49,123,",398",30,70,",429",36,39,",923",15,74,62,27,1,25,48,243
Tiffany Hayes,LVA,G,33,708,33,5,708,110,220,",500",33,82,",402",77,138,",558",60,84,",714",27,92,69,25,9,28,68,313
Chelsea Gray,LVA,G,27,702,27,25,702,84,206,",408",26,77,",338",58,129,",450",39,48,",813",5,79,132,34,19,64,37,233
Odyssey Sims,TOT,G,24,700,24,17,700,117,242,",483",20,58,",345",97,184,",527",48,63,",762",17,51,127,28,5,52,36,302
Courtney Vandersloot,NYL,G,31,691,31,31,691,81,182,",445",18,67,",269",63,115,",548",17,31,",548",13,81,149,25,15,56,53,197
Katie Lou Samuelson,IND,F,37,674,37,15,674,51,146,",349",33,100,",330",18,46,",391",24,25,",960",17,85,51,12,9,18,53,159
Lexie Hull,IND,G,34,671,34,11,671,60,136,",441",33,70,",471",27,66,",409",33,41,",805",33,84,36,22,11,29,85,186
Maddy Siegrist,DAL,F,27,644,27,13,644,106,210,",505",10,37,",270",96,173,",555",33,43,",767",43,90,27,10,10,15,33,255
Michaela Onyenwere,CHI,F,34,636,34,18,636,88,212,",415",25,68,",368",63,144,",438",25,41,",610",19,62,33,19,12,43,68,226
Jordin Canada,ATL,G,20,624,20,18,624,69,177,",390",16,57,",281",53,120,",442",57,73,",781",12,69,116,32,5,42,52,211
