===== wnba_2009_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Lindsey Harding,WAS,G,34,1194,34,34,1194,163,375,",435",20,62,",323",143,313,",457",89,119,",748",24,135,154,43,13,101,68,435
Candice Dupree,CHI,F,34,1186,34,34,1186,204,476,",429",24,62,",387",180,414,",435",102,130,",785",76,268,75,35,41,81,54,534
Tina Thompson*,LAS,F,34,1182,34,34,1182,152,395,",385",52,141,",369",100,254,",394",85,98,",867",46,199,78,26,24,94,71,441
Deanna Nolan,DET,G-F,33,1113,33,33,1113,214,525,",408",40,123,",325",174,402,",433",91,116,",784",36,141,116,44,10,73,91,559
Sophia Young-Malcolm,SAS,F,33,1113,33,33,1113,219,482,",454",17,55,",309",202,427,",473",145,189,",767",69,215,54,44,16,62,67,600
Sue Bird*,SEA,G,31,1101,31,31,1101,154,377,",408",54,150,",360",100,227,",441",35,41,",854",12,78,179,47,3,81,50,397
Swin Cash*,SEA,F,32,1094,32,29,1094,139,355,",392",10,31,",323",129,324,",398",102,128,",797",62,214,82,28,16,91,98,390
Tamika Catchings*,IND,F,34,1084,34,34,1084,157,407,",386",40,122,",328",117,285,",411",158,181,",873",86,245,107,99,18,88,92,512
Cappie Pondexter,PHO,G,34,1075,34,34,1075,236,513,",460",43,120,",358",193,393,",491",133,151,",881",32,144,171,31,12,86,99,648
Tanisha Wright,SEA,G,33,1072,33,33,1072,150,324,",463",8,30,",267",142,294,",483",96,106,",906",44,117,129,50,10,85,119,404
Becky Hammon*,SAS,G,31,1049,31,31,1049,200,447,",447",76,206,",369",124,241,",515",128,142,",901",25,103,156,49,12,111,54,604
Camille Smith,SEA,F,34,1044,34,34,1044,124,263,",471",7,27,",259",117,236,",496",86,126,",683",75,222,35,39,13,67,118,341
DeLisha Milton-Jones,LAS,F,33,1043,33,33,1043,129,322,",401",24,82,",293",105,240,",438",56,74,",757",51,157,71,41,8,74,84,338
