===== wnba_2013_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
DeWanna Bonner,PHO,G-F,34,1119,34,33,1119,160,390,",410",54,166,",325",106,224,",473",118,131,",901",35,198,82,39,11,56,45,492
Ivory Latta,WAS,G,34,1072,34,34,1072,158,403,",392",72,182,",396",86,221,",389",83,92,",902",12,88,150,29,1,64,67,471
Maya Moore*,MIN,F,34,1068,34,34,1068,233,458,",509",72,159,",453",161,299,",538",90,102,",882",59,210,101,59,33,57,97,628
Candice Dupree,PHO,F,32,1057,32,32,1057,204,396,",515",0,3,",000",204,393,",519",78,87,",897",48,204,61,34,13,65,58,486
Tanisha Wright,SEA,G,34,1050,34,34,1050,146,332,",440",13,46,",283",133,286,",465",100,117,",855",29,127,138,38,7,98,90,405
Jia Perkins,SAS,G,34,1037,34,33,1037,181,452,",400",45,116,",388",136,336,",405",64,74,",865",26,107,69,80,10,49,58,471
Angel McCoughtry,ATL,F-G,33,1036,33,32,1036,246,596,",413",23,113,",204",223,483,",462",196,238,",824",58,176,146,89,24,134,90,711
Diana Taurasi,PHO,G,32,1032,32,32,1032,200,439,",456",69,199,",347",131,240,",546",182,213,",854",18,134,197,22,15,116,103,651
Camille Smith,SEA,F,34,1030,34,34,1030,121,277,",437",13,46,",283",108,231,",468",114,142,",803",65,161,47,42,9,81,89,369
Cappie Pondexter,NYL,G,30,1027,30,30,1027,171,475,",360",38,103,",369",133,372,",358",127,156,",814",15,135,119,31,4,104,50,507
Erlana Larkins,IND,F,34,1022,34,34,1022,103,189,",545",0,0,0,103,189,",545",63,89,",708",104,265,64,48,11,47,100,269
Kristi Toliver,LAS,G,34,1019,34,34,1019,181,396,",457",49,128,",383",132,268,",493",69,83,",831",18,87,114,43,6,65,86,480
Erika de Souza,ATL,F-C,34,1016,34,34,1016,187,338,",553",0,0,0,187,338,",553",63,93,",677",90,337,43,45,61,55,90,437
Lindsey Harding,LAS,G,33,1011,33,33,1011,134,304,",441",4,22,",182",130,282,",461",88,116,",759",17,89,170,34,13,82,60,360
Lindsay Whalen*,MIN,G,34,1005,34,34,1005,198,407,",486",1,9,",111",197,398,",495",108,138,",783",22,148,197,26,2,74,67,505
Sylvia Fowles*,CHI,C,32,1001,32,32,1001,198,338,",586",0,0,0,198,338,",586",124,181,",685",117,369,12,29,78,66,66,520
Courtney Vandersloot,CHI,G,33,985,33,33,985,106,268,",396",17,56,",304",89,212,",420",60,72,",833",10,106,184,46,28,82,86,289
Tina Thompson*,SEA,F,34,976,34,34,976,154,376,",410",60,162,",370",94,214,",439",111,127,",874",40,198,39,18,22,50,79,479
Crystal Langhorne,WAS,F-C,34,973,34,34,973,169,328,",515",1,8,",125",168,320,",525",69,106,",651",81,245,45,31,10,79,65,408
Rebekkah Brunson,MIN,F,33,965,33,33,965,147,296,",497",1,1,"1,000",146,295,",495",56,88,",636",89,294,50,42,29,39,70,351
Swin Cash*,CHI,F,34,961,34,34,961,118,284,",415",17,63,",270",101,221,",457",64,75,",853",43,191,74,31,20,64,101,317
Tina Charles,CON,C,29,951,29,29,951,218,545,",400",0,3,",000",218,542,",402",85,113,",752",98,293,42,27,28,64,57,521
Briann January,IND,G,32,946,32,32,946,110,316,",348",35,98,",357",75,218,",344",60,74,",811",12,77,118,34,6,79,84,315
Tamika Catchings*,IND,F,30,942,30,30,942,179,452,",396",36,112,",321",143,340,",421",136,158,",861",45,213,71,85,31,51,74,530
Elena Delle Donne,CHI,F-G,30,941,30,30,941,172,404,",426",42,96,",438",130,308,",422",157,169,",929",42,167,53,20,54,39,47,543
Jasmine Thomas,ATL,G,34,935,34,29,935,120,334,",359",16,74,",216",104,260,",400",32,46,",696",24,103,106,29,9,71,63,288
Epiphanny Prince,CHI,G,31,930,31,31,930,148,394,",376",61,154,",396",87,240,",363",108,120,",900",18,84,93,51,12,43,45,465
Seimone Augustus*,MIN,G-F,31,922,31,31,922,213,413,",516",20,69,",290",193,344,",561",58,66,",879",24,98,76,18,18,45,33,504
Karima Christmas-Kelly,IND,F-G,34,913,34,28,913,101,271,",373",30,100,",300",71,171,",415",60,74,",811",64,141,37,63,11,42,81,292
