===== wnba_2010_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Cappie Pondexter,NYL,G,34,1167,34,34,1167,254,526,",483",64,149,",430",190,377,",504",157,176,",892",21,153,165,30,4,81,88,729
Crystal Langhorne,WAS,F-C,34,1158,34,34,1158,221,375,",589",1,6,",167",220,369,",596",112,145,",772",98,330,39,30,7,90,74,555
Lindsey Harding,WAS,G,34,1130,34,34,1130,157,353,",445",15,52,",288",142,301,",472",82,107,",766",17,103,137,47,6,94,67,411
Lindsay Whalen*,MIN,G,33,1110,33,33,1110,134,327,",410",15,66,",227",119,261,",456",133,148,",899",31,131,184,46,5,76,85,416
Noelle Quinn,LAS,G,34,1104,34,34,1104,137,309,",443",35,87,",402",102,222,",459",38,49,",776",26,135,96,35,11,47,55,347
DeLisha Milton-Jones,LAS,F,34,1096,34,34,1096,193,411,",470",26,82,",317",167,329,",508",110,127,",866",34,161,86,37,22,96,107,522
Tina Thompson*,LAS,F,33,1095,33,33,1095,198,444,",446",57,162,",352",141,282,",500",95,109,",872",63,206,60,38,24,77,98,548
Sylvia Fowles*,CHI,C,34,1087,34,34,1087,228,392,",582",1,1,"1,000",227,391,",581",149,196,",760",74,338,51,39,88,82,75,606
Sophia Young-Malcolm,SAS,F,34,1082,34,34,1082,216,431,",501",10,38,",263",206,393,",524",79,120,",658",44,178,81,54,9,70,89,521
Becky Hammon*,SAS,G,32,1075,32,32,1075,159,360,",442",69,177,",390",90,183,",492",97,101,",960",16,93,172,36,8,108,61,484
Tamika Catchings*,IND,F,34,1068,34,34,1068,207,428,",484",47,105,",448",160,323,",495",157,185,",849",57,242,135,77,30,93,93,618
Tina Charles,CON,C,34,1054,34,34,1054,206,423,",487",0,1,",000",206,422,",488",116,152,",763",129,398,51,25,57,71,72,528
Swin Cash*,SEA,F,34,1046,34,34,1046,161,370,",435",35,86,",407",126,284,",444",113,140,",807",65,203,68,19,17,98,106,470
Angel McCoughtry,ATL,F-G,34,1044,34,34,1044,246,603,",408",33,126,",262",213,477,",447",191,238,",803",63,167,105,66,21,108,107,716
Katie Smith*,WAS,G,33,1016,33,33,1016,109,276,",395",54,149,",362",55,127,",433",42,55,",764",13,70,85,24,5,53,94,314
Katie Douglas,IND,G-F,34,1014,34,34,1014,170,379,",449",68,174,",391",102,205,",498",59,71,",831",26,117,111,46,13,67,55,467
Candice Dupree,PHO,F,34,1014,34,34,1014,231,348,",664",0,1,",000",231,347,",666",73,78,",936",75,257,45,35,28,65,84,535
Sue Bird*,SEA,G,33,1005,33,33,1005,135,311,",434",59,148,",399",76,163,",466",36,42,",857",7,88,190,50,5,60,45,365
Diana Taurasi,PHO,G,31,998,31,31,998,212,497,",427",80,214,",374",132,283,",466",198,217,",912",12,132,146,38,19,110,110,702
Taj McWilliams-Franklin,NYL,F-C,34,994,34,34,994,140,274,",511",6,23,",261",134,251,",534",76,92,",826",74,184,69,47,30,52,101,362
Lauren Jackson*,SEA,F-C,32,993,32,32,993,220,476,",462",54,156,",346",166,320,",519",162,178,",910",89,264,38,30,38,46,91,656
Tangela Smith,PHO,C,34,992,34,34,992,118,299,",395",51,147,",347",67,152,",441",27,36,",750",33,177,30,23,29,37,116,314
Tanisha Wright,SEA,G,34,988,34,34,988,107,261,",410",23,56,",411",84,205,",410",76,90,",844",27,112,154,41,9,71,110,313
Iziane Castro Marques,ATL,F-G,34,984,34,34,984,220,496,",444",46,156,",295",174,340,",512",89,135,",659",14,59,89,28,2,95,73,575
Leilani Mitchell,NYL,G,34,978,34,34,978,105,238,",441",72,148,",486",33,90,",367",35,43,",814",25,88,130,55,6,51,79,317
Janel McCarville,NYL,F-C,34,967,34,34,967,127,275,",462",3,11,",273",124,264,",470",41,50,",820",66,200,74,46,23,86,88,298
Penny Taylor,PHO,F,32,959,32,32,959,173,340,",509",46,104,",442",127,236,",538",117,131,",893",32,141,161,47,9,76,88,509
Renee Montgomery,CON,G,34,940,34,23,940,158,394,",401",66,189,",349",92,205,",449",71,83,",855",14,74,138,47,3,78,67,453
Jia Perkins,CHI,G,34,936,34,34,936,145,366,",396",38,109,",349",107,257,",416",35,43,",814",35,98,83,56,6,40,61,363
Sancho Lyttle,ATL,F,32,930,32,31,930,162,335,",484",0,0,0,162,335,",484",87,120,",725",102,316,70,55,20,63,96,411
Nicky Anosike,MIN,F-C,31,928,31,30,928,83,223,",372",0,0,0,83,223,",372",119,154,",773",82,212,60,62,32,66,93,285
Temeka Johnson,PHO,G,34,928,34,34,928,122,297,",411",30,97,",309",92,200,",460",39,49,",796",19,108,160,32,7,69,84,313
Rebekkah Brunson,MIN,F,30,915,30,30,915,117,273,",429",0,1,",000",117,272,",430",106,160,",663",120,310,23,36,29,49,91,340
Nicole Powell,NYL,F,34,895,34,34,895,112,288,",389",66,167,",395",46,121,",380",26,31,",839",33,143,76,34,7,48,67,316
Monique Currie,WAS,F,34,891,34,34,891,146,335,",436",37,83,",446",109,252,",433",150,171,",877",43,163,55,49,14,89,120,479
Dominique Canty,CHI,G,34,884,34,34,884,105,244,",430",2,11,",182",103,233,",442",95,137,",693",34,87,115,33,7,76,89,307
Tammy Sutton-Brown,IND,C,34,875,34,34,875,103,229,",450",0,1,",000",103,228,",452",70,99,",707",69,174,29,33,55,55,90,276
Erika de Souza,ATL,F-C,34,872,34,34,872,190,333,",571",0,0,0,190,333,",571",41,75,",547",96,283,30,27,40,62,109,421
Monica Wright,MIN,G,34,866,34,24,866,139,376,",370",32,94,",340",107,282,",379",68,83,",819",29,97,50,34,7,67,101,378
Roneeka Hodges,SAS,G,34,859,34,19,859,94,263,",357",49,159,",308",45,104,",433",25,33,",758",23,108,46,15,10,40,40,262
Tan White,CON,G,34,857,34,10,857,121,288,",420",49,134,",366",72,154,",468",52,65,",800",8,91,79,54,4,53,92,343
Kara Lawson,CON,G,34,854,34,32,854,101,247,",409",46,128,",359",55,119,",462",34,38,",895",8,87,118,14,0,48,49,282
Ticha Penicheiro,LAS,G,32,843,32,30,843,48,117,",410",1,9,",111",47,108,",435",59,72,",819",17,127,220,43,2,72,57,156
Chamique Holdsclaw,SAS,F,29,840,29,29,840,162,328,",494",11,31,",355",151,297,",508",58,72,",806",51,155,58,43,10,65,61,393
Camille Smith,SEA,F,34,838,34,34,838,128,256,",500",8,23,",348",120,233,",515",81,114,",711",72,176,48,55,21,60,106,345
Scholanda Dorrell,TUL,G,34,836,34,33,836,145,361,",402",23,76,",303",122,285,",428",92,130,",708",29,80,57,53,12,86,93,405
Seimone Augustus*,MIN,G-F,25,832,25,25,832,176,410,",429",36,107,",336",140,303,",462",34,51,",667",9,81,47,17,7,35,33,422
Michelle Snow,SAS,C,34,821,34,33,821,144,251,",574",0,1,",000",144,250,",576",64,89,",719",52,210,55,33,25,56,71,352
Ebony Hoffman,IND,F,34,815,34,33,815,106,267,",397",26,82,",317",80,185,",432",34,40,",850",44,144,43,40,13,53,91,272
DeWanna Bonner,PHO,G-F,32,813,32,4,813,132,284,",465",19,53,",358",113,231,",489",100,119,",840",67,196,40,22,37,41,58,383
Shalee Lehning,ATL,G,33,775,33,33,775,48,106,",453",13,36,",361",35,70,",500",14,30,",467",28,89,159,25,6,61,68,123
Asjha Jones,CON,F,30,774,30,29,774,139,310,",448",6,20,",300",133,290,",459",39,46,",848",48,147,66,13,13,54,66,323
Charde Houston,MIN,F,34,758,34,8,758,153,368,",416",46,126,",365",107,242,",442",50,71,",704",32,138,46,43,20,68,70,402
Marie Ferdinand-Harris,LAS,G,30,728,30,24,728,101,247,",409",14,48,",292",87,199,",437",52,62,",839",19,80,37,26,5,33,64,268
Edwige Lawson-Wade,SAS,G,33,724,33,19,724,67,181,",370",43,127,",339",24,54,",444",39,43,",907",17,64,94,35,2,45,71,216
Cathrine Kraayeveld,CHI,F,34,722,34,14,722,63,180,",350",31,98,",316",32,82,",390",21,24,",875",24,93,43,21,19,48,48,178
Tiffany Jackson-Jones,TOT,F,34,717,34,17,717,79,200,",395",1,1,"1,000",78,199,",392",70,89,",787",54,172,38,40,9,60,63,229
Chante Black,TUL,C,34,712,34,23,712,80,149,",537",0,0,0,80,149,",537",17,49,",347",85,222,22,18,54,43,72,177
Kristi Toliver,LAS,G,34,703,34,4,703,105,240,",438",37,106,",349",68,134,",507",44,54,",815",23,75,44,18,2,50,63,291
Amber Holt,TUL,F,33,697,33,9,697,98,240,",408",27,86,",314",71,154,",461",65,81,",802",28,101,59,30,7,37,51,288
