===== wnba_2017_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Skylar Diggins,DAL,G,34,1162,34,34,1162,192,455,",422",49,140,",350",143,315,",454",195,218,",894",23,118,198,45,28,94,80,628
Chelsea Gray,LAS,G,34,1125,34,34,1125,184,363,",507",53,110,",482",131,253,",518",81,98,",827",21,113,151,36,8,65,74,502
Tina Charles,NYL,C,34,1095,34,34,1095,262,593,",442",24,69,",348",238,524,",454",123,153,",804",69,318,87,28,24,80,74,671
Breanna Stewart,SEA,F,33,1086,33,33,1086,222,467,",475",49,132,",371",173,335,",516",163,207,",787",49,287,90,38,53,80,107,656
Elizabeth Williams,ATL,C-F,34,1069,34,34,1069,149,307,",485",0,1,",000",149,306,",487",54,82,",659",107,246,46,36,67,46,81,352
Maya Moore*,MIN,F,34,1063,34,34,1063,207,468,",442",65,158,",411",142,310,",458",109,127,",858",51,171,119,64,14,61,80,588
Jewell Loyd,SEA,G,34,1059,34,34,1059,208,483,",431",54,140,",386",154,343,",449",132,153,",863",32,108,117,43,12,85,62,602
Nneka Ogwumike,LAS,F,34,1050,34,34,1050,244,435,",561",18,53,",340",226,382,",592",134,154,",870",61,263,72,63,18,52,99,640
Candice Dupree,IND,F,33,1049,33,33,1049,214,433,",494",0,2,",000",214,431,",497",67,76,",882",35,191,54,31,15,45,62,495
Alana Beard,LAS,G-F,34,1048,34,34,1048,96,193,",497",6,19,",316",90,174,",517",37,46,",804",21,113,76,71,17,45,93,235
Sylvia Fowles*,MIN,C,34,1048,34,34,1048,254,388,",655",0,0,0,254,388,",655",136,177,",768",123,354,52,44,67,83,93,644
Glory Johnson,DAL,F,33,1022,33,33,1022,187,403,",464",21,67,",313",166,336,",494",98,128,",766",79,300,53,41,13,73,97,493
Layshia Clarendon,ATL,G,34,1014,34,33,1014,137,362,",378",11,61,",180",126,301,",419",80,91,",879",30,128,226,32,2,90,97,365
Karima Christmas-Kelly,DAL,F-G,34,1011,34,34,1011,100,263,",380",26,89,",292",74,174,",425",126,148,",851",58,143,75,41,7,56,99,352
Candace Parker,LAS,F-C,33,1007,33,33,1007,208,435,",478",45,127,",354",163,308,",529",96,127,",756",40,277,141,48,55,89,77,557
Allie Quigley,CHI,G,31,1000,31,31,1000,191,378,",505",77,179,",430",114,199,",573",50,56,",893",9,101,113,24,17,73,62,509
Kayla McBride,SAS,G,30,995,30,29,995,144,378,",381",49,158,",310",95,220,",432",124,134,",925",14,124,77,34,5,58,41,461
Shavonte Zellous,NYL,G,34,991,34,34,991,123,291,",423",16,48,",333",107,243,",440",135,164,",823",33,136,95,29,8,65,115,397
Tiffany Hayes,ATL,G,33,989,33,33,989,166,381,",436",48,129,",372",118,252,",468",158,185,",854",31,127,80,41,8,63,102,538
Kristi Toliver,WAS,G,34,989,34,34,989,138,339,",407",76,225,",338",62,114,",544",52,60,",867",11,67,115,23,8,62,65,404
Alyssa Thomas,CON,F,33,982,33,33,982,188,369,",509",0,3,",000",188,366,",514",114,201,",567",47,225,147,52,13,98,105,490
Jonquel Jones,CON,C,34,970,34,34,970,181,339,",534",25,56,",446",156,283,",551",135,165,",818",123,403,50,29,50,57,115,522
Stefanie Dolson,CHI,C,33,968,33,33,968,194,346,",561",31,71,",437",163,275,",593",60,69,",870",42,193,85,18,43,81,120,479
Crystal Langhorne,SEA,F-C,34,967,34,34,967,180,278,",647",1,2,",500",179,276,",649",61,83,",735",43,206,51,19,12,57,69,422
Alysha Clark,SEA,F,33,934,33,33,934,106,202,",525",22,67,",328",84,135,",622",38,51,",745",33,138,54,24,4,33,80,272
Shekinna Stricklen,CON,F,34,926,34,29,926,95,231,",411",71,173,",410",24,58,",414",32,37,",865",17,107,37,42,4,29,56,293
Allisha Gray,DAL,G,34,924,34,34,924,150,394,",381",35,117,",299",115,277,",415",106,132,",803",55,134,45,52,20,42,71,441
Isabelle Harrison,SAS,F,34,906,34,33,906,163,326,",500",1,2,",500",162,324,",500",61,96,",635",72,216,48,28,25,68,103,388
Jasmine Thomas,CON,G,32,902,32,31,902,171,406,",421",54,134,",403",117,272,",430",57,73,",781",13,74,139,51,4,76,52,453
Sue Bird*,SEA,G,30,901,30,30,901,117,274,",427",59,150,",393",58,124,",468",24,31,",774",7,60,199,36,3,62,38,317
Erica Wheeler,IND,G,34,898,34,26,898,156,390,",400",50,151,",331",106,239,",444",38,48,",792",11,75,138,47,1,78,78,400
Krystal Thomas,WAS,C,34,888,34,30,888,98,180,",544",0,0,0,98,180,",544",41,68,",603",111,328,33,17,38,48,96,237
Seimone Augustus*,MIN,G-F,32,886,32,32,886,148,295,",502",19,44,",432",129,251,",514",33,38,",868",13,94,127,18,3,45,32,348
Courtney Williams,CON,G,34,884,34,28,884,185,391,",473",12,37,",324",173,354,",489",36,41,",878",46,143,71,18,8,46,55,418
Diana Taurasi,PHO,G,31,883,31,31,883,168,420,",400",96,250,",384",72,170,",424",124,136,",912",10,92,83,16,10,62,88,556
Tamera Young,TOT,F,35,867,35,22,867,110,308,",357",25,73,",342",85,235,",362",48,71,",676",23,117,67,36,15,61,70,293
Brittney Sykes,ATL,G,34,863,34,23,863,170,417,",408",37,110,",336",133,307,",433",94,129,",729",28,141,65,19,18,58,86,471
Camille Smith,PHO,F,34,862,34,34,862,98,234,",419",13,58,",224",85,176,",483",34,56,",607",45,129,49,31,15,55,98,243
Sugar Rodgers,NYL,G,33,844,33,15,844,120,354,",339",63,184,",342",57,170,",335",44,54,",815",23,126,77,30,17,53,76,347
Jessica Breland,CHI,F,34,834,34,33,834,139,292,",476",8,21,",381",131,271,",483",37,47,",787",54,215,53,19,59,62,73,323
Tierra Ruffin-Pratt,WAS,G,34,827,34,34,827,84,249,",337",0,4,",000",84,245,",343",79,107,",738",52,180,79,33,17,50,99,247
Brittney Griner,PHO,C,26,820,26,26,820,207,359,",577",0,0,0,207,359,",577",155,191,",812",45,198,49,18,65,64,88,569
Sancho Lyttle,ATL,F,29,820,29,28,820,81,186,",435",2,8,",250",79,178,",444",22,29,",759",49,207,46,45,18,38,82,186
Courtney Vandersloot,CHI,G,27,817,27,22,817,127,246,",516",26,68,",382",101,178,",567",31,36,",861",16,101,218,33,6,80,60,311
Rebekkah Brunson,MIN,F,30,807,30,30,807,109,243,",449",23,66,",348",86,177,",486",64,90,",711",51,201,44,33,13,48,69,305
Alex Montgomery,SAS,G-F,34,800,34,31,800,81,219,",370",23,75,",307",58,144,",403",19,23,",826",39,194,71,21,10,47,81,204
Cappie Pondexter,CHI,G,29,789,29,15,789,106,289,",367",9,35,",257",97,254,",382",58,73,",795",12,84,124,19,5,66,67,279
Monique Currie,TOT,F,36,784,36,10,784,131,306,",428",39,98,",398",92,208,",442",89,108,",824",20,133,77,25,12,54,80,390
Elena Delle Donne,WAS,F-G,25,758,25,25,758,159,322,",494",33,85,",388",126,237,",532",142,149,",953",39,169,41,21,36,38,49,493
Danielle Robinson,PHO,G,32,752,32,29,752,83,192,",432",0,7,",000",83,185,",449",55,65,",846",14,93,110,35,5,61,64,221
Odyssey Sims,LAS,G,31,752,31,14,752,113,253,",447",11,58,",190",102,195,",523",62,70,",886",14,59,108,45,5,44,60,299
Epiphanny Prince,NYL,G,28,751,28,25,751,116,289,",401",33,96,",344",83,193,",430",72,82,",878",32,101,81,35,7,35,50,337
Renee Montgomery,MIN,G,34,743,34,12,743,92,217,",424",39,109,",358",53,108,",491",48,57,",842",15,54,117,24,2,58,47,271
Alex Bentley,CON,G,31,735,31,9,735,100,263,",380",22,79,",278",78,184,",424",38,47,",809",4,45,89,26,4,27,68,260
Bria Hartley,NYL,G,34,727,34,24,727,99,238,",416",38,110,",345",61,128,",477",29,39,",744",10,71,70,19,5,49,55,265
Leilani Mitchell,PHO,G,34,726,34,7,726,81,208,",389",36,100,",360",45,108,",417",75,91,",824",13,80,121,32,10,53,46,273
Bria Holmes,ATL,G,32,711,32,13,711,91,241,",378",10,53,",189",81,188,",431",57,89,",640",32,92,56,23,7,35,45,249
Kelsey Plum,SAS,G,31,711,31,23,711,85,246,",346",35,96,",365",50,150,",333",60,69,",870",12,59,106,16,4,79,57,265
Theresa Plaisance,DAL,F,34,690,34,25,690,97,255,",380",42,122,",344",55,133,",414",25,29,",862",43,147,31,25,24,29,94,261
Dearica Hamby,SAS,F,34,686,34,3,686,100,219,",457",3,8,",375",97,211,",460",62,102,",608",50,144,34,29,9,46,72,265
Tiffany Mitchell,IND,G,27,671,27,9,671,83,238,",349",17,69,",246",66,169,",391",94,102,",922",16,86,39,31,5,40,60,277
Kiah Stokes,NYL,C,34,666,34,12,666,60,113,",531",0,1,",000",60,112,",536",43,54,",796",77,214,30,12,39,40,94,163
Briann January,IND,G,25,657,25,24,657,81,205,",395",18,57,",316",63,148,",426",58,71,",817",12,37,98,23,4,53,71,238
Emma Meesseman,WAS,F,23,653,23,21,653,135,280,",482",14,44,",318",121,236,",513",40,46,",870",40,132,64,22,35,40,71,324
Erlana Larkins,IND,F,34,640,34,17,640,68,117,",581",0,0,0,68,117,",581",31,34,",912",64,142,38,18,10,42,71,167
Marissa Coleman,IND,G-F,34,636,34,23,636,55,168,",327",28,87,",322",27,81,",333",30,36,",833",8,69,34,10,5,39,41,168
Natalie Achonwa,IND,F,34,623,34,17,623,98,176,",557",0,0,0,98,176,",557",45,59,",763",37,127,25,14,17,31,76,241
Damiris Dantas,ATL,C-F,34,614,34,2,614,102,260,",392",26,98,",265",76,162,",469",33,43,",767",33,121,23,17,19,28,79,263
Stephanie Talbot,PHO,F,34,609,34,24,609,51,123,",415",16,42,",381",35,81,",432",30,46,",652",29,91,55,24,9,30,66,148
Kayla Thornton,DAL,F,34,586,34,1,586,73,177,",412",17,61,",279",56,116,",483",68,85,",800",40,112,29,23,8,24,75,231
Ivory Latta,WAS,G,34,579,34,1,579,87,249,",349",44,134,",328",43,115,",374",54,62,",871",7,28,58,15,1,30,41,272
Jia Perkins,MIN,G,34,554,34,2,554,55,149,",369",12,38,",316",43,111,",387",20,24,",833",11,68,47,37,1,28,42,142
