===== wnba_2022_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Kelsey Plum,LVA,G,36,1182,36,36,1182,244,531,",460",113,269,",420",131,262,",500",125,149,",839",9,96,184,36,2,94,90,726
Brianna Turner,PHO,F-C,35,1168,35,35,1168,68,112,",607",0,0,0,68,112,",607",15,30,",500",69,238,80,44,56,50,80,151
Sabrina Ionescu,NYL,G,36,1163,36,36,1163,211,513,",411",83,249,",333",128,264,",485",121,130,",931",35,254,228,39,10,109,76,626
Alyssa Thomas,CON,F,36,1154,36,36,1154,188,376,",500",0,2,",000",188,374,",503",108,148,",730",74,294,218,62,7,103,101,484
Jackie Young,LVA,G,34,1129,34,34,1129,191,401,",476",50,116,",431",141,285,",495",110,128,",859",43,148,132,48,8,43,81,542
Jewell Loyd,SEA,G,36,1090,36,36,1090,201,508,",396",84,218,",385",117,290,",403",100,112,",893",20,95,121,39,7,78,64,586
Allisha Gray,DAL,G,33,1086,33,33,1086,146,345,",423",64,157,",408",82,188,",436",83,104,",798",29,159,84,37,24,42,78,439
Ariel Atkins,WAS,G,36,1081,36,36,1081,185,440,",420",70,192,",365",115,248,",464",87,103,",845",34,117,83,47,9,51,99,527
A'ja Wilson,LVA,C,36,1080,36,36,1080,260,519,",501",31,83,",373",229,436,",525",152,187,",813",66,339,75,52,70,61,76,703
Nneka Ogwumike,LAS,F,34,1068,34,34,1068,249,458,",544",21,57,",368",228,401,",569",95,115,",826",48,225,68,57,15,62,80,614
Rhyne Howard,ATL,G,34,1066,34,34,1066,184,509,",361",85,248,",343",99,261,",379",99,125,",792",27,154,96,54,26,53,87,552
Natasha Cloud,WAS,G,34,1065,34,34,1065,123,308,",399",43,135,",319",80,173,",462",75,91,",824",16,122,239,35,10,94,55,364
Breanna Stewart,SEA,F,34,1052,34,34,1052,255,540,",472",67,177,",379",188,363,",518",164,196,",837",46,257,97,54,31,43,72,741
Kayla Thornton,DAL,F,36,1050,36,35,1050,97,207,",469",25,77,",325",72,130,",554",68,82,",829",65,211,65,39,20,42,97,287
Natasha Howard,NYL,F,35,1048,35,35,1048,206,427,",482",30,92,",326",176,335,",525",88,123,",715",69,256,81,45,35,113,110,530
Chelsea Gray,LVA,G,35,1039,35,35,1039,183,373,",491",34,100,",340",149,273,",546",81,89,",910",10,112,212,57,10,80,54,481
Emma Meesseman,CHI,F,36,1030,36,36,1030,194,340,",571",13,38,",342",181,302,",599",47,53,",887",62,200,137,50,30,51,90,448
Skylar Diggins,PHO,G,30,1019,30,30,1019,208,485,",429",40,135,",296",168,350,",480",135,160,",844",28,121,166,46,30,80,81,591
Kelsey Mitchell,IND,G,31,1010,31,31,1010,196,447,",438",72,176,",409",124,271,",458",105,122,",861",14,60,129,28,7,73,72,569
DeWanna Bonner,CON,G-F,33,991,33,33,991,156,355,",439",46,140,",329",110,215,",512",86,104,",827",25,156,91,41,11,52,59,444
