===== wnba_2012_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Cappie Pondexter,NYL,G,34,1162,34,34,1162,249,573,",435",53,162,",327",196,411,",477",144,166,",867",20,154,146,43,7,106,72,695
DeWanna Bonner,PHO,G-F,32,1120,32,32,1120,212,582,",364",52,184,",283",160,398,",402",184,216,",852",55,230,71,54,28,75,46,660
Tina Charles,CON,C,33,1096,33,33,1096,250,501,",499",1,5,",200",249,496,",502",93,116,",802",123,345,57,17,47,74,64,594
Sancho Lyttle,ATL,F,34,1074,34,34,1074,199,483,",412",28,110,",255",171,373,",458",50,66,",758",47,259,85,82,23,88,100,476
Kristi Toliver,LAS,G,34,1071,34,33,1071,197,401,",491",64,151,",424",133,250,",532",137,152,",901",31,109,166,45,3,124,102,595
Kara Lawson,CON,G,34,1066,34,34,1066,169,343,",493",74,172,",430",95,171,",556",100,107,",935",17,131,136,27,5,60,40,512
Sophia Young-Malcolm,SAS,F,33,1049,33,33,1049,212,407,",521",0,3,",000",212,404,",525",113,160,",706",68,238,69,74,13,55,77,537
Lindsey Harding,ATL,G,34,1040,34,32,1040,157,369,",425",14,58,",241",143,311,",460",90,110,",818",16,95,153,46,7,70,47,418
Tamika Catchings*,IND,F,34,1036,34,34,1036,200,463,",432",50,132,",379",150,331,",453",140,162,",864",62,258,107,70,29,59,84,590
Swin Cash*,CHI,F,34,1021,34,34,1021,126,343,",367",32,114,",281",94,229,",410",75,98,",765",55,197,79,34,17,94,81,359
Alana Beard,LAS,G-F,33,1017,33,33,1017,137,314,",436",35,87,",402",102,227,",449",66,83,",795",10,71,109,66,13,83,91,375
Candace Parker,LAS,F-C,33,1014,33,33,1014,228,474,",481",19,59,",322",209,415,",504",98,138,",710",83,320,110,51,76,98,58,573
Maya Moore*,MIN,F,34,1011,34,34,1011,199,428,",465",73,188,",388",126,240,",525",87,99,",879",71,205,124,50,22,62,86,558
Crystal Langhorne,WAS,F-C,31,999,31,31,999,190,338,",562",1,8,",125",189,330,",573",75,117,",641",75,194,42,46,4,75,65,456
Becky Hammon*,SAS,G,33,998,33,33,998,160,363,",441",80,184,",435",80,179,",447",85,97,",876",9,83,176,31,6,106,37,485
Katie Douglas,IND,G-F,32,990,32,32,990,184,445,",413",80,189,",423",104,256,",406",81,96,",844",33,121,71,48,10,53,55,529
Danielle Robinson,SAS,G,34,984,34,34,984,146,270,",541",0,7,",000",146,263,",555",43,55,",782",19,85,146,46,4,54,76,335
Ivory Latta,TUL,G,34,962,34,18,962,175,407,",430",69,177,",390",106,230,",461",68,81,",840",14,75,111,31,3,73,75,487
Glory Johnson,TUL,F,34,958,34,28,958,131,272,",482",0,0,0,131,272,",482",130,192,",677",95,232,38,73,20,71,103,392
Tanisha Wright,SEA,G,32,953,32,32,953,88,236,",373",10,52,",192",78,184,",424",67,78,",859",23,97,140,38,4,85,88,253
Camille Smith,SEA,F,34,947,34,34,947,130,274,",474",11,33,",333",119,241,",494",113,153,",739",52,175,63,24,17,93,93,384
Essence Carson,NYL,G,34,927,34,23,927,158,395,",400",36,105,",343",122,290,",421",42,54,",778",29,117,58,37,25,59,52,394
DeLisha Milton-Jones,LAS,F,34,926,34,34,926,123,295,",417",29,89,",326",94,206,",456",65,79,",823",48,150,60,34,24,63,95,340
Nicole Powell,NYL,F,34,922,34,21,922,89,214,",416",47,121,",388",42,93,",452",13,15,",867",41,147,48,45,14,49,63,238
Nneka Ogwumike,LAS,F,33,920,33,33,920,178,333,",535",1,7,",143",177,326,",543",105,143,",734",98,247,40,46,29,42,87,462
Katie Smith*,SEA,G,34,919,34,31,919,77,187,",412",44,110,",400",33,77,",429",31,37,",838",8,93,73,20,4,51,82,229
Leilani Mitchell,NYL,G,34,908,34,25,908,79,193,",409",53,129,",411",26,64,",406",9,12,",750",21,84,103,35,5,53,72,220
Courtney Vandersloot,CHI,G,34,906,34,27,906,118,291,",405",28,84,",333",90,207,",435",37,57,",649",6,71,157,44,7,111,89,301
Armintie Herrington,ATL,G,34,904,34,33,904,108,212,",509",0,2,",000",108,210,",514",71,118,",602",63,125,85,39,10,59,75,287
Sue Bird*,SEA,G,29,898,29,29,898,133,290,",459",53,138,",384",80,152,",526",36,46,",783",6,83,155,26,3,65,32,355
Lindsay Whalen*,MIN,G,33,891,33,33,891,148,293,",505",13,26,",500",135,267,",506",72,99,",727",30,137,178,23,6,68,69,381
Samantha Prahalis,PHO,G,28,886,28,28,886,118,335,",352",29,107,",271",89,228,",390",59,68,",868",13,89,127,44,3,85,71,324
Briann January,IND,G,31,879,31,26,879,99,245,",404",46,107,",430",53,138,",384",76,87,",874",13,55,122,36,4,76,78,320
Taj McWilliams-Franklin,MIN,F-C,33,879,33,33,879,122,235,",519",2,5,",400",120,230,",522",30,40,",750",55,177,84,34,46,66,75,276
Alexis Hornbuckle,PHO,G,34,865,34,25,865,86,257,",335",26,80,",325",60,177,",339",23,38,",605",45,142,68,42,17,72,98,221
Rebekkah Brunson,MIN,F,31,837,31,31,837,138,273,",505",0,0,0,138,273,",505",76,112,",679",108,277,37,37,29,40,71,352
Temeka Johnson,TUL,G,29,833,29,28,833,128,308,",416",34,64,",531",94,244,",385",63,75,",840",18,93,135,34,1,79,70,353
Allison Hightower,CON,G,34,827,34,29,827,90,256,",352",18,76,",237",72,180,",400",32,35,",914",21,79,84,43,5,47,79,230
Seimone Augustus*,MIN,G-F,29,826,29,29,826,192,391,",491",45,103,",437",147,288,",510",52,61,",852",16,105,72,27,6,50,31,481
Monique Currie,WAS,F,34,820,34,28,820,129,319,",404",22,80,",275",107,239,",448",127,164,",774",28,122,59,35,7,59,85,407
Renee Montgomery,CON,G,34,816,34,0,816,116,333,",348",47,129,",364",69,204,",338",117,138,",848",8,63,89,35,3,76,52,396
Tamera Young,CHI,F,33,804,33,24,804,116,274,",423",0,1,",000",116,273,",425",40,66,",606",44,122,47,34,6,46,90,272
Tiffany Hayes,ATL,G,34,787,34,17,787,90,231,",390",21,77,",273",69,154,",448",92,117,",786",24,105,73,28,12,51,89,293
Shekinna Stricklen,SEA,F,34,784,34,3,784,100,253,",395",37,117,",316",63,136,",463",36,52,",692",28,147,40,24,8,35,70,273
Epiphanny Prince,CHI,G,26,780,26,25,780,157,355,",442",59,145,",407",98,210,",467",98,109,",899",24,91,80,47,7,52,58,471
Sylvia Fowles*,CHI,C,25,778,25,25,778,157,246,",638",0,0,0,157,246,",638",92,133,",692",94,260,21,33,30,53,55,406
Krystal Thomas,PHO,C,29,771,29,25,771,76,157,",484",0,1,",000",76,156,",487",33,66,",500",93,233,27,5,26,66,92,185
Jasmine Thomas,WAS,G,34,763,34,23,763,107,282,",379",35,96,",365",72,186,",387",29,43,",674",14,81,94,29,7,74,52,278
Jia Perkins,SAS,G,33,759,33,3,759,128,337,",380",49,127,",386",79,210,",376",46,61,",754",17,92,64,53,12,29,44,351
Candice Wiggins,MIN,G,34,741,34,1,741,71,197,",360",58,146,",397",13,51,",255",32,37,",865",11,73,67,24,4,61,67,232
Angel McCoughtry,ATL,F-G,24,718,24,17,718,177,396,",447",28,83,",337",149,313,",476",132,165,",800",50,119,69,60,27,95,56,514
Matee Ajavon,WAS,G,33,712,33,22,712,82,274,",299",31,103,",301",51,171,",298",67,81,",827",20,60,67,53,6,65,97,262
Kia Vaughn,NYL,C,31,710,31,17,710,89,207,",430",0,0,0,89,207,",430",21,32,",656",48,154,27,16,25,31,76,199
Shameka Christon,SAS,G,34,695,34,31,695,83,232,",358",54,158,",342",29,74,",392",50,64,",781",17,67,43,18,16,20,41,270
Charde Houston,PHO,F,27,694,27,20,694,126,309,",408",39,112,",348",87,197,",442",34,47,",723",29,93,44,34,10,52,80,325
Shavonte Zellous,IND,G,31,692,31,31,692,79,214,",369",19,55,",345",60,159,",377",57,74,",770",27,84,54,23,15,43,71,234
Danielle Adams,SAS,F-C,34,686,34,5,686,141,320,",441",38,112,",339",103,208,",495",82,108,",759",61,159,33,23,23,42,94,402
Riquna Williams,TUL,G,33,671,33,3,671,116,337,",344",38,117,",325",78,220,",355",75,91,",824",25,80,69,51,9,47,65,345
Noelle Quinn,WAS,G,30,666,30,18,666,72,182,",396",31,77,",403",41,105,",390",19,26,",731",18,88,54,22,6,29,32,194
Monica Wright,MIN,G,34,660,34,7,660,103,225,",458",16,44,",364",87,181,",481",71,96,",740",18,82,66,35,6,65,69,293
Michelle Snow,WAS,C,32,643,32,21,643,81,155,",523",0,1,",000",81,154,",526",28,36,",778",59,173,19,19,27,53,75,190
Plenette Pierson,NYL,F,26,641,26,24,641,122,262,",466",5,18,",278",117,244,",480",63,83,",759",48,141,61,19,23,61,53,312
Kayla Pedersen,TUL,F,27,626,27,25,626,44,148,",297",3,12,",250",41,136,",301",23,39,",590",36,118,42,26,13,34,74,114
Jayne Appel-Marinelli,SAS,C,33,625,33,30,625,47,85,",553",0,1,",000",47,84,",560",22,29,",759",62,213,39,18,29,39,67,116
Erin Phillips,IND,G,29,620,29,8,620,62,159,",390",28,64,",438",34,95,",358",25,29,",862",24,80,63,22,3,35,49,177
Roneeka Hodges,TOT,G,32,617,32,16,617,87,218,",399",48,136,",353",39,82,",476",20,28,",714",11,61,44,19,10,37,20,242
Aneika Henry-Morello,ATL,F-C,34,613,34,14,613,65,139,",468",0,0,0,65,139,",468",32,42,",762",53,140,15,16,30,28,70,162
