===== wnba_2018_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
DeWanna Bonner,PHO,G-F,34,1120,34,34,1120,208,460,",452",55,176,",313",153,284,",539",117,135,",867",47,246,108,43,14,55,62,588
Chelsea Gray,LAS,G,34,1111,34,34,1111,193,399,",484",38,97,",392",155,302,",513",81,97,",835",17,116,175,48,6,80,65,505
Brittney Griner,PHO,C,34,1108,34,34,1108,266,489,",544",1,4,",250",265,485,",546",164,205,",800",63,262,70,17,87,80,110,697
Skylar Diggins,DAL,G,32,1092,32,32,1092,186,461,",403",51,172,",297",135,289,",467",151,180,",839",21,107,199,46,17,81,73,574
Tina Charles,NYL,C,33,1088,33,33,1088,263,556,",473",31,95,",326",232,461,",503",94,122,",770",63,231,90,24,20,93,84,651
Sylvia Fowles*,MIN,C,34,1087,34,34,1087,237,383,",619",0,0,0,237,383,",619",128,169,",757",122,404,74,49,42,103,103,602
Kristi Toliver,WAS,G,33,1087,33,33,1087,149,344,",433",72,200,",360",77,144,",535",89,97,",918",5,76,146,40,1,72,54,459
Maya Moore*,MIN,F,34,1081,34,34,1081,223,527,",423",66,181,",365",157,346,",454",100,120,",833",47,174,88,57,12,60,62,612
Breanna Stewart,SEA,F,34,1074,34,34,1074,270,510,",529",61,147,",415",209,363,",576",141,172,",820",38,284,86,46,49,61,69,742
Jewell Loyd,SEA,G,34,1010,34,34,1010,182,430,",423",67,181,",370",115,249,",462",97,114,",851",42,155,126,43,5,65,61,528
A'ja Wilson,LVA,C,33,1010,33,33,1010,245,530,",462",0,0,0,245,530,",462",192,248,",774",66,264,74,27,55,47,68,682
Candice Dupree,IND,F,32,1006,32,32,1006,198,406,",488",0,1,",000",198,405,",489",59,72,",819",37,206,54,30,11,51,55,455
Kayla McBride,LVA,G,31,1000,31,31,1000,197,439,",449",48,122,",393",149,317,",470",121,132,",917",25,121,109,33,4,63,33,563
Diana Taurasi,PHO,G,33,989,33,33,989,202,453,",446",106,277,",383",96,176,",545",172,186,",925",4,115,176,30,8,85,100,682
Kayla Thornton,DAL,F,34,971,34,32,971,114,255,",447",43,121,",355",71,134,",530",43,50,",860",44,137,62,35,12,37,93,314
Diamond DeShields,CHI,G,34,967,34,33,967,166,391,",425",40,122,",328",126,269,",468",117,140,",836",37,167,74,37,10,70,74,489
Jasmine Thomas,CON,G,34,956,34,34,956,160,402,",398",46,148,",311",114,254,",449",71,83,",855",26,111,163,37,8,85,70,437
Courtney Vandersloot,CHI,G,30,955,30,30,955,136,278,",489",45,113,",398",91,165,",552",57,69,",826",15,112,258,40,17,104,62,374
Allie Quigley,CHI,G,32,951,32,32,951,183,393,",466",73,174,",420",110,219,",502",54,63,",857",10,77,81,22,10,66,58,493
Candace Parker,LAS,F-C,31,949,31,30,949,198,420,",471",41,119,",345",157,301,",522",118,146,",808",51,253,146,38,33,92,65,555
Liz Cambage,DAL,C,32,945,32,32,945,278,472,",589",12,37,",324",266,435,",611",169,229,",738",75,309,73,15,54,89,89,737
Renee Montgomery,ATL,G,34,935,34,34,935,107,275,",389",78,210,",371",29,65,",446",59,67,",881",4,58,125,45,2,54,57,351
Elena Delle Donne,WAS,F-G,29,933,29,29,933,220,451,",488",49,121,",405",171,330,",518",110,124,",887",43,210,67,26,40,27,49,599
Victoria Vivians,IND,G-F,34,920,34,26,920,105,260,",404",65,163,",399",40,97,",412",27,29,",931",17,107,41,32,5,33,62,302
Allisha Gray,DAL,G,34,907,34,34,907,100,248,",403",30,111,",270",70,137,",511",82,95,",863",40,115,82,44,8,47,76,312
Jessica Breland,ATL,F,34,899,34,34,899,124,290,",428",0,0,0,124,290,",428",33,44,",750",58,269,68,39,65,57,86,281
Tiffany Hayes,ATL,G,31,897,31,29,897,177,401,",441",42,131,",321",135,270,",500",138,169,",817",28,112,83,36,7,50,65,534
Briann January,PHO,G,33,895,33,33,895,77,182,",423",47,100,",470",30,82,",366",29,36,",806",14,68,109,19,4,46,76,230
Elizabeth Williams,ATL,C-F,33,885,33,32,885,121,221,",548",0,0,0,121,221,",548",58,103,",563",71,190,46,26,59,41,88,300
Natalie Achonwa,IND,F,34,883,34,34,883,137,260,",527",0,0,0,137,260,",527",76,95,",800",86,234,46,29,23,38,106,350
Tamera Young,LVA,F,33,881,33,25,881,129,316,",408",4,13,",308",125,303,",413",65,92,",707",36,168,91,32,6,55,68,327
Tiffany Mitchell,IND,G,34,871,34,20,871,108,291,",371",16,60,",267",92,231,",398",76,91,",835",25,105,78,30,8,49,59,308
Natasha Howard,SEA,F,34,869,34,33,869,175,320,",547",17,52,",327",158,268,",590",83,104,",798",80,219,33,44,67,64,126,450
Odyssey Sims,LAS,G,34,867,34,24,867,104,268,",388",15,55,",273",89,213,",418",57,79,",722",14,84,95,20,1,52,56,280
Seimone Augustus*,MIN,G-F,33,864,33,33,864,156,334,",467",21,66,",318",135,268,",504",24,34,",706",5,60,85,14,8,40,32,357
Nneka Ogwumike,LAS,F,27,831,27,27,831,169,322,",525",9,26,",346",160,296,",541",71,87,",816",49,184,53,42,12,40,77,418
Kelsey Mitchell,IND,G,34,829,34,17,829,142,410,",346",70,209,",335",72,201,",358",78,97,",804",9,60,92,23,4,66,82,432
Sue Bird*,SEA,G,31,824,31,31,824,115,247,",466",60,134,",448",55,113,",487",24,29,",828",5,54,221,35,2,59,38,314
Alysha Clark,SEA,F,31,813,31,30,813,83,173,",480",29,74,",392",54,99,",545",33,39,",846",31,108,58,31,4,36,70,228
Courtney Williams,CON,G,30,812,30,29,812,171,375,",456",20,53,",377",151,322,",469",17,25,",680",46,178,90,23,2,54,47,379
Bria Hartley,NYL,G,34,806,34,20,806,103,265,",389",36,117,",308",67,148,",453",46,65,",708",25,100,121,29,2,68,75,288
Angel McCoughtry,ATL,F-G,29,799,29,28,799,170,405,",420",21,76,",276",149,329,",453",117,140,",836",46,174,86,38,16,76,74,478
Chiney Ogwumike,CON,F-C,31,790,31,31,790,176,292,",603",1,2,",500",175,290,",603",94,118,",797",85,227,32,35,19,51,106,447
Kelsey Plum,LVA,G,31,790,31,27,790,106,227,",467",47,107,",439",59,120,",492",35,40,",875",14,74,124,25,5,37,64,294
Essence Carson,LAS,G,34,786,34,15,786,101,232,",435",39,108,",361",62,124,",500",15,16,",938",10,90,31,29,12,21,51,256
Gabby Williams,CHI,F,34,781,34,30,781,102,236,",432",7,26,",269",95,210,",452",36,46,",783",42,146,56,56,8,38,66,247
Kia Nurse,NYL,G,34,774,34,7,774,103,256,",402",37,126,",294",66,130,",508",67,77,",870",24,82,54,23,5,30,72,310
Alana Beard,LAS,G-F,30,766,30,30,766,51,130,",392",2,5,",400",49,125,",392",17,21,",810",36,98,50,44,6,20,73,121
Stefanie Dolson,CHI,C,27,745,27,25,745,107,229,",467",18,52,",346",89,177,",503",30,32,",938",20,124,81,15,24,48,81,262
Alex Bentley,TOT,G,35,745,35,0,745,128,331,",387",39,127,",307",89,204,",436",34,47,",723",10,51,115,40,3,57,76,329
Erica Wheeler,IND,G,34,737,34,22,737,99,282,",351",21,76,",276",78,206,",379",47,59,",797",20,100,141,28,6,48,77,266
Alyssa Thomas,CON,F,24,734,24,24,734,98,211,",464",0,1,",000",98,210,",467",52,95,",547",47,195,101,28,10,48,69,248
Natasha Cloud,WAS,G,27,715,27,22,715,89,204,",436",32,83,",386",57,121,",471",21,27,",778",6,86,125,20,4,45,54,231
Azura Stevens,DAL,F-C,34,700,34,9,700,111,258,",430",28,88,",318",83,170,",488",52,66,",788",59,155,44,31,39,51,70,302
Jonquel Jones,CON,C,34,697,34,16,697,149,271,",550",50,107,",467",99,164,",604",53,79,",671",71,188,57,15,42,55,99,401
Rebekkah Brunson,MIN,F,25,691,25,25,691,64,158,",405",18,48,",375",46,110,",418",33,49,",673",37,169,60,20,13,37,60,179
LaToya Sanders,WAS,F-C,28,686,28,25,686,116,191,",607",0,1,",000",116,190,",611",53,61,",869",65,179,44,35,31,30,66,285
Cheyenne Parker-Tyus,CHI,F,34,670,34,5,670,128,241,",531",6,19,",316",122,222,",550",77,108,",713",60,196,23,19,36,48,94,339
Ariel Atkins,WAS,G,29,652,29,24,652,120,278,",432",45,126,",357",75,152,",493",42,51,",824",28,69,60,39,10,39,73,327
Glory Johnson,DAL,F,29,652,29,17,652,85,204,",417",17,54,",315",68,150,",453",46,59,",780",47,173,39,29,14,39,61,233
Shekinna Stricklen,CON,F,34,639,34,30,639,77,179,",430",58,135,",430",19,44,",432",12,14,",857",9,77,16,20,4,19,46,224
Lindsay Whalen*,MIN,G,32,617,32,29,617,65,179,",363",15,42,",357",50,137,",365",37,42,",881",10,82,99,21,3,41,42,182
Brittany Boyd,NYL,G,30,613,30,14,613,70,169,",414",10,27,",370",60,142,",423",41,53,",774",10,117,159,37,3,81,72,191
Sugar Rodgers,NYL,G,31,608,31,13,608,67,185,",362",43,133,",323",24,52,",462",19,23,",826",19,100,61,21,3,36,66,196
Brittney Sykes,ATL,G,29,600,29,7,600,97,236,",411",22,82,",268",75,154,",487",65,98,",663",18,102,68,10,18,32,52,281
Tierra Ruffin-Pratt,WAS,G,33,598,33,10,598,56,164,",341",16,51,",314",40,113,",354",53,62,",855",23,67,51,19,6,26,54,181
Tanisha Wright,MIN,G,33,586,33,4,586,51,133,",383",19,48,",396",32,85,",376",20,27,",741",11,53,65,16,4,42,63,141
Layshia Clarendon,TOT,G,33,549,33,4,549,57,142,",401",2,20,",100",55,122,",451",43,53,",811",17,61,72,15,0,38,48,159
Riquna Williams,LAS,G,33,546,33,3,546,81,199,",407",48,128,",375",33,71,",465",24,30,",800",12,46,22,22,3,16,52,234
Cappie Pondexter,TOT,G,30,545,30,14,545,85,223,",381",11,30,",367",74,193,",383",39,45,",867",7,55,54,15,0,27,45,220
Jordin Canada,SEA,G,33,543,33,2,543,65,182,",357",10,55,",182",55,127,",433",48,65,",738",9,49,108,30,1,56,38,188
Camille Smith,PHO,F,33,536,33,7,536,33,100,",330",8,31,",258",25,69,",362",24,31,",774",16,60,40,18,10,29,71,98
Tianna Hawkins,WAS,F,32,532,32,4,532,81,183,",443",25,70,",357",56,113,",496",14,17,",824",36,113,24,17,12,36,79,201
Kia Vaughn,NYL,C,29,532,29,27,532,73,137,",533",0,0,0,73,137,",533",18,28,",643",34,115,20,20,7,29,50,164
Shavonte Zellous,NYL,G,22,531,22,22,531,63,149,",423",8,30,",267",55,119,",462",46,61,",754",6,69,65,13,5,27,57,180
Kahleah Copper,CHI,G-F,33,524,33,2,524,81,204,",397",24,64,",375",57,140,",407",49,56,",875",17,73,20,10,6,32,45,235
Danielle Robinson,MIN,G,28,521,28,2,521,69,155,",445",3,19,",158",66,136,",485",41,48,",854",8,50,92,26,1,49,38,182
Jantel Lavender,LAS,F,30,511,30,7,511,68,159,",428",3,16,",188",65,143,",455",18,20,",900",34,111,22,13,7,30,41,157
Monique Currie,WAS,F,32,508,32,9,508,68,172,",395",17,58,",293",51,114,",447",59,71,",831",18,96,27,13,6,38,72,212
Cecilia Zandalasini,MIN,F,29,478,29,6,478,61,149,",409",23,60,",383",38,89,",427",21,25,",840",6,54,32,8,1,31,51,166
Dearica Hamby,LVA,F,33,474,33,0,474,92,175,",526",13,45,",289",79,130,",608",46,62,",742",37,119,41,24,9,37,67,243
Morgan Tuck,CON,F,34,462,34,1,462,80,169,",473",22,63,",349",58,106,",547",19,23,",826",23,78,18,14,4,24,41,201
Leilani Mitchell,PHO,G,31,461,31,0,461,46,131,",351",31,91,",341",15,40,",375",12,14,",857",10,43,70,14,6,36,40,135
Amanda Zahui B.,NYL,C,29,460,29,0,460,90,180,",500",21,61,",344",69,119,",580",23,38,",605",37,87,21,11,12,45,80,224
Kaela Davis,DAL,F,27,453,27,6,453,50,144,",347",10,41,",244",40,103,",388",25,39,",641",13,55,37,9,1,35,57,135
Stephanie Talbot,PHO,F,31,453,31,8,453,39,84,",464",17,44,",386",22,40,",550",19,21,",905",25,60,41,14,10,27,51,114
Kaleena Mosqueda-Lewis,SEA,F,33,442,33,4,442,61,148,",412",34,81,",420",27,67,",403",11,12,",917",8,48,27,4,0,23,39,167
Kiah Stokes,NYL,C,30,427,30,4,427,42,77,",545",0,0,0,42,77,",545",8,15,",533",43,134,12,11,19,21,56,92
Yvonne Turner,PHO,G,32,426,32,3,426,47,125,",376",23,71,",324",24,54,",444",15,22,",682",7,57,43,21,2,20,36,132
Rachel Banham,CON,G,33,424,33,5,424,55,133,",414",30,81,",370",25,52,",481",33,38,",868",6,29,48,15,3,18,55,173
Sancho Lyttle,PHO,F,18,419,18,18,419,61,113,",540",0,1,",000",61,112,",545",21,24,",875",25,96,26,16,7,17,41,143
Erica McCall,IND,F,34,418,34,2,418,42,109,",385",1,8,",125",41,101,",406",13,19,",684",47,93,13,12,16,12,55,98
JiSu Park,LVA,C,32,417,32,11,417,38,98,",388",0,2,",000",38,96,",396",13,21,",619",27,107,30,10,20,23,54,89
Nia Coffey,LVA,F,28,386,28,10,386,52,137,",380",2,5,",400",50,132,",379",42,68,",618",21,66,17,9,6,38,47,148
Marissa Coleman,NYL,G-F,21,384,21,18,384,40,115,",348",12,43,",279",28,72,",389",6,6,"1,000",13,50,22,10,5,13,22,98
Carolyn Swords,LVA,C,26,375,26,12,375,44,79,",557",0,0,0,44,79,",557",14,16,",875",45,122,23,5,17,21,55,102
Alaina Coates,CHI,C,32,364,32,0,364,42,74,",568",0,0,0,42,74,",568",25,40,",625",39,102,13,6,7,17,58,109
Crystal Langhorne,SEA,F-C,26,362,26,1,362,52,104,",500",0,4,",000",52,100,",520",16,18,",889",17,77,9,8,4,24,22,120
Jamierra Faulkner,CHI,G,17,360,17,0,360,46,134,",343",19,63,",302",27,71,",380",18,24,",750",5,24,67,8,2,35,27,129
Courtney Paris,SEA,C,34,360,34,0,360,32,60,",533",0,1,",000",32,59,",542",9,17,",529",39,133,22,8,9,14,55,73
Lindsay Allen,LVA,G,24,358,24,6,358,28,73,",384",1,16,",063",27,57,",474",17,24,",708",3,30,69,15,0,21,17,74
Monique Billings,ATL,F,32,353,32,0,353,41,93,",441",0,0,0,41,93,",441",24,32,",750",37,88,12,14,1,14,37,106
Aerial Powers,TOT,G,24,345,24,0,345,48,122,",393",12,44,",273",36,78,",462",40,46,",870",16,66,21,13,6,31,30,148
Kelsey Bone,LVA,C,32,344,32,10,344,40,80,",500",0,0,0,40,80,",500",9,18,",500",19,70,38,3,2,30,61,89
Imani McGee-Stafford,ATL,C,29,305,29,2,305,39,86,",453",0,0,0,39,86,",453",7,15,",467",39,99,18,13,11,23,44,85
Epiphanny Prince,NYL,G,16,305,16,12,305,48,122,",393",18,43,",419",30,79,",380",21,24,",875",7,25,27,14,0,17,31,135
Rebecca Allen,NYL,F-G,28,291,28,0,291,38,101,",376",10,38,",263",28,63,",444",21,25,",840",13,48,8,9,11,16,36,107
Temi Fagbenle,MIN,C,30,283,30,2,283,39,77,",506",0,0,0,39,77,",506",16,23,",696",28,60,17,8,9,22,35,94
Jaime Nared,LVA,G-F,31,283,31,0,283,24,80,",300",7,31,",226",17,49,",347",24,28,",857",10,46,14,13,2,17,26,79
Betnijah Laney-Hamilton,CON,G-F,29,271,29,0,271,33,70,",471",1,9,",111",32,61,",525",10,11,",909",20,50,21,11,0,16,20,77
Sami Whitcomb,SEA,G,31,265,31,0,265,30,86,",349",25,69,",362",5,17,",294",6,6,"1,000",5,29,16,16,4,15,20,91
Kayla Alexander,IND,C,30,257,30,0,257,33,61,",541",0,0,0,33,61,",541",14,17,",824",21,65,5,4,10,19,37,80
Damiris Dantas,ATL,C-F,19,255,19,0,255,42,97,",433",5,21,",238",37,76,",487",13,18,",722",17,45,16,8,0,10,32,102
Astou Ndour-Fall,CHI,C-F,22,255,22,9,255,37,78,",474",7,22,",318",30,56,",536",20,26,",769",23,54,7,5,10,11,32,101
Myisha Hines-Allen,WAS,F,24,252,24,1,252,36,80,",450",1,3,",333",35,77,",455",17,26,",654",29,69,10,9,4,9,37,90
Moriah Jefferson,LVA,G,16,251,16,0,251,33,87,",379",3,15,",200",30,72,",417",17,21,",810",5,21,34,10,0,16,21,86
Cayla George,DAL,C-F,23,245,23,1,245,34,78,",436",12,39,",308",22,39,",564",3,6,",500",15,64,16,2,5,14,31,83
Brionna Jones,CON,F,27,242,27,0,242,30,64,",469",0,0,0,30,64,",469",24,33,",727",24,53,6,6,6,16,37,84
Angel Robinson,PHO,F-C,24,238,24,0,238,19,42,",452",0,1,",000",19,41,",463",17,20,",850",23,72,13,5,6,21,31,55
Krystal Thomas,WAS,C,24,237,24,7,237,18,42,",429",0,0,0,18,42,",429",7,11,",636",22,59,4,4,2,19,45,43
Tayler Hill,TOT,G,20,235,20,1,235,24,84,",286",13,45,",289",11,39,",282",13,14,",929",3,15,20,3,2,17,8,74
Alexis Jones,MIN,G,26,229,26,0,229,32,91,",352",16,50,",320",16,41,",390",6,8,",750",5,23,18,3,2,17,26,86
Maria Kliundikova,LAS,F,25,204,25,0,204,39,74,",527",4,12,",333",35,62,",565",9,12,",750",18,55,11,9,11,12,45,91
Stephanie Mavunga,IND,F,25,194,25,0,194,21,44,",477",0,1,",000",21,43,",488",12,15,",800",25,56,4,8,6,11,35,54
Blake Dietrick,ATL,G,26,186,26,0,186,12,35,",343",9,23,",391",3,12,",250",4,6,",667",2,14,11,7,0,12,21,37
Noelle Quinn,SEA,G,20,181,20,1,181,13,43,",302",4,17,",235",9,26,",346",0,0,0,2,17,13,1,2,10,7,30
Erlana Larkins,MIN,F,13,168,13,0,168,12,27,",444",0,0,0,12,27,",444",3,3,"1,000",13,35,17,9,2,9,21,27
Shatori Walker-Kimbrough,WAS,G,19,168,19,1,168,24,56,",429",7,23,",304",17,33,",515",12,12,"1,000",3,15,8,7,6,15,8,67
Karima Christmas-Kelly,DAL,F-G,6,167,6,6,167,13,29,",448",4,9,",444",9,20,",450",26,32,",813",11,33,9,2,2,10,14,56
Linnae Harper,CHI,G,24,146,24,0,146,19,47,",404",4,13,",308",15,34,",441",6,10,",600",4,18,24,5,1,10,15,48
Leticia Romero,DAL,G,21,146,21,0,146,5,16,",313",1,5,",200",4,11,",364",13,15,",867",8,17,23,1,0,15,21,24
Hind Ben Abdelkader,IND,G,14,142,14,0,142,8,43,",186",6,29,",207",2,14,",143",7,8,",875",1,14,11,4,1,13,10,29
Mercedes Russell,TOT,C,24,133,24,0,133,16,34,",471",0,0,0,16,34,",471",8,14,",571",8,33,4,2,3,7,16,40
Lexie Brown,CON,G,22,124,22,0,124,12,44,",273",9,29,",310",3,15,",200",4,7,",571",1,17,12,6,1,10,10,37
Alex Montgomery,CHI,G-F,19,122,19,0,122,5,19,",263",1,3,",333",4,16,",250",4,4,"1,000",6,18,9,2,1,5,14,15
Jazmon Gwathmey,IND,G,10,116,10,3,116,9,39,",231",1,11,",091",8,28,",286",5,10,",500",2,17,9,3,2,7,14,24
Asia Taylor,IND,F,14,116,14,0,116,9,29,",310",1,5,",200",8,24,",333",7,9,",778",9,25,6,3,0,11,12,26
Marie Gulich,PHO,C,23,115,23,0,115,14,29,",483",0,0,0,14,29,",483",6,8,",750",9,22,2,1,6,13,18,34
Endy Miyem,MIN,F,20,101,20,1,101,12,37,",324",2,10,",200",10,27,",370",1,1,"1,000",5,12,6,2,2,3,13,27
Karlie Samuelson,LAS,G,20,84,20,0,84,7,18,",389",5,16,",313",2,2,"1,000",0,0,0,2,10,6,2,5,3,13,19
Theresa Plaisance,DAL,F,7,81,7,0,81,14,36,",389",9,19,",474",5,17,",294",0,2,",000",10,26,5,2,2,8,13,37
Lynetta Kizer,MIN,F,14,78,14,0,78,8,33,",242",0,3,",000",8,30,",267",6,10,",600",6,21,8,2,0,5,15,22
Chelsea Hopkins,CHI,G,4,58,4,4,58,3,6,",500",0,0,0,3,6,",500",1,1,"1,000",0,13,8,2,0,7,2,7
Maggie Lucas,TOT,G,8,56,8,0,56,1,16,",063",1,13,",077",0,3,",000",0,0,0,1,3,0,3,0,6,0,3
Saniya Chong,DAL,G,5,43,5,0,43,1,6,",167",0,1,",000",1,5,",200",2,3,",667",1,4,5,3,0,1,3,4
Devereaux Peters,PHO,F,5,38,5,0,38,4,12,",333",0,2,",000",4,10,",400",0,0,0,2,8,2,0,0,2,5,8
Sydney Wiese,LAS,G,11,36,11,0,36,0,4,",000",0,4,",000",0,0,0,0,0,0,0,3,2,0,0,1,5,0
Breanna Lewis,DAL,C,6,26,6,0,26,3,10,",300",0,0,0,3,10,",300",1,1,"1,000",3,7,0,0,1,3,6,7
Raigyne Louis,LVA,G,2,21,2,0,21,2,5,",400",0,1,",000",2,4,",500",2,3,",667",1,4,1,1,0,4,2,6
Sequoia Holmes,LVA,G,3,20,3,0,20,2,3,",667",0,0,0,2,3,",667",0,1,",000",1,2,2,1,2,2,1,4
Sydney Colson,MIN,G,2,17,2,0,17,3,7,",429",0,2,",000",3,5,",600",1,2,",500",1,2,4,0,1,4,2,7
Shoni Schimmel,LVA,G,2,13,2,0,13,0,5,",000",0,4,",000",0,1,",000",0,0,0,0,2,1,0,0,1,0,0
Teana Muldrow,TOT,F,4,9,4,0,9,0,1,",000",0,1,",000",0,0,0,0,0,0,0,1,0,0,0,0,1,0
Alexis Prince,ATL,F,2,6,2,0,6,3,5,",600",1,1,"1,000",2,4,",500",0,0,0,1,2,0,0,0,0,1,7
Amber Harris,CHI,F,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Adaora Elonu,ATL,F,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imani Wright,PHO,G,1,1,1,0,1,0,1,",000",0,1,",000",0,0,0,0,0,0,0,0,0,0,0,0,0,0


===== wnba_2018_per_game.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
DeWanna Bonner,PHO,G-F,34,1120,34,34,"32,9","6,1","13,5",",452","1,6","5,2",",313","4,5","8,4",",539","3,4","4,0",",867","1,4","7,2","3,2","1,3","0,4","1,6","1,8","17,3"
Chelsea Gray,LAS,G,34,1111,34,34,"32,7","5,7","11,7",",484","1,1","2,9",",392","4,6","8,9",",513","2,4","2,9",",835","0,5","3,4","5,1","1,4","0,2","2,4","1,9","14,9"
