===== wnba_2023_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Arike Ogunbowale,DAL,G,40,1489,40,40,1489,299,752,",398",117,341,",343",182,411,",443",134,153,",876",19,135,181,68,4,105,109,849
Alyssa Thomas,CON,F,40,1446,40,40,1446,243,513,",474",0,3,",000",243,510,",476",133,186,",715",80,394,316,73,19,137,109,619
Breanna Stewart,NYL,F,40,1365,40,40,1365,316,680,",465",82,231,",355",234,449,",521",205,241,",851",64,371,150,58,63,58,75,919
Kelsey Mitchell,IND,G,40,1349,40,40,1349,245,555,",441",102,256,",398",143,299,",478",136,165,",824",13,65,125,37,2,92,81,728
Jewell Loyd,SEA,G,38,1344,38,38,1344,285,770,",370",115,323,",356",170,447,",380",254,286,",888",41,178,131,38,16,105,63,939
Ezi Magbegor,SEA,F-C,40,1304,40,40,1304,217,423,",513",30,78,",385",187,345,",542",86,123,",699",64,322,102,45,74,94,129,550
Natasha Howard,DAL,F,39,1289,39,39,1289,247,539,",458",38,127,",299",209,412,",507",110,135,",815",84,313,100,50,45,109,140,642
Chelsea Gray,LVA,G,40,1288,40,40,1288,225,459,",490",64,152,",421",161,307,",524",96,107,",897",12,158,291,57,25,101,73,610
Rhyne Howard,ATL,G,39,1283,39,39,1283,226,587,",385",99,281,",352",127,306,",415",130,165,",788",26,193,138,51,25,75,110,681
Kelsey Plum,LVA,G,39,1265,39,39,1265,249,524,",475",95,244,",389",154,280,",550",135,148,",912",9,95,177,43,0,82,94,728
Jackie Young,LVA,G,40,1259,40,40,1259,249,476,",523",89,198,",449",160,278,",576",117,135,",867",26,160,151,52,5,70,80,704
Satou Sabally,DAL,F,38,1258,38,38,1258,237,545,",435",66,183,",361",171,362,",472",167,191,",874",86,308,167,68,16,110,135,707
Brittney Sykes,WAS,G,40,1252,40,40,1252,229,522,",439",56,160,",350",173,362,",478",122,153,",797",38,198,153,84,13,96,115,636
Aliyah Boston,IND,C-F,40,1249,40,40,1249,233,403,",578",4,10,",400",229,393,",583",108,145,",745",125,335,89,53,50,75,125,578
Allisha Gray,ATL,G,38,1244,38,38,1244,219,471,",465",42,118,",356",177,353,",501",169,205,",824",47,186,119,40,14,71,100,649
Napheesa Collier,MIN,F,37,1238,37,37,1238,297,613,",485",34,114,",298",263,499,",527",168,200,",840",70,313,94,61,43,89,89,796
Jordin Canada,LAS,G,38,1237,38,38,1237,163,403,",404",41,123,",333",122,280,",436",138,158,",873",9,116,228,86,9,103,89,505
A'ja Wilson,LVA,C,40,1228,40,40,1228,335,601,",557",9,29,",310",326,572,",570",233,287,",812",82,380,64,56,89,62,85,912
Kayla McBride,MIN,G,38,1208,38,38,1208,187,441,",424",83,243,",342",104,198,",525",85,98,",867",14,122,85,47,6,65,63,542
Courtney Williams,CHI,G,40,1204,40,40,1204,176,403,",437",47,106,",443",129,297,",434",15,25,",600",38,241,251,38,12,98,65,414
DeWanna Bonner,CON,G-F,40,1203,40,40,1203,233,548,",425",75,228,",329",158,320,",494",156,181,",862",35,224,87,42,25,58,64,697
Betnijah Laney-Hamilton,NYL,G-F,40,1201,40,40,1201,200,401,",499",60,153,",392",140,248,",565",53,67,",791",30,130,97,34,4,75,86,513
Natasha Cloud,WAS,G,37,1199,37,37,1199,149,395,",377",45,151,",298",104,244,",426",126,140,",900",8,138,229,39,10,95,95,469
Elizabeth Williams,CHI,C-F,40,1188,40,40,1188,167,325,",514",0,0,0,167,325,",514",58,92,",630",90,232,98,50,60,54,101,392
Courtney Vandersloot,NYL,G,39,1187,39,39,1187,161,364,",442",37,126,",294",124,238,",521",51,67,",761",19,136,314,51,23,104,78,410
Kahleah Copper,CHI,G-F,38,1184,38,38,1184,262,585,",448",69,171,",404",193,414,",466",117,152,",770",25,167,77,35,10,94,93,710
Marina Mabrey,CHI,G,39,1169,39,39,1169,202,491,",411",89,228,",390",113,263,",430",92,110,",836",34,146,140,29,18,86,93,585
Sabrina Ionescu,NYL,G,36,1134,36,36,1134,195,461,",423",128,286,",448",67,175,",383",95,109,",872",29,200,193,37,10,94,61,613
Nneka Ogwumike,LAS,F,36,1119,36,36,1119,264,516,",512",21,62,",339",243,454,",535",140,161,",870",60,316,97,61,26,80,92,689
Tiffany Hayes,CON,G,40,1082,40,40,1082,168,353,",476",48,131,",366",120,222,",541",98,126,",778",38,120,105,34,3,56,114,482
Erica Wheeler,IND,G,40,1071,40,40,1071,146,367,",398",30,97,",309",116,270,",430",72,82,",878",16,120,201,44,3,83,96,394
Natisha Hiedeman,CON,G,40,1066,40,40,1066,123,314,",392",59,161,",366",64,153,",418",34,46,",739",8,84,106,35,4,57,89,339
Cheyenne Parker-Tyus,ATL,F,40,1066,40,38,1066,232,481,",482",15,54,",278",217,427,",508",121,146,",829",87,267,71,43,59,90,114,600
Brianna Turner,PHO,F-C,40,1052,40,33,1052,67,103,",650",0,0,0,67,103,",650",6,12,",500",50,253,50,39,44,60,89,140
Sug Sutton,PHO,G,40,1051,40,12,1051,126,327,",385",30,89,",337",96,238,",403",46,57,",807",14,102,190,27,3,99,62,328
Alanna Smith,CHI,F,38,1007,38,35,1007,132,265,",498",30,102,",294",102,163,",626",55,81,",679",70,249,68,49,50,56,116,349
Jonquel Jones,NYL,C,40,1001,40,40,1001,176,334,",527",32,91,",352",144,243,",593",69,80,",863",103,336,73,23,51,83,113,453
Shatori Walker-Kimbrough,WAS,G,40,993,40,15,993,87,203,",429",32,82,",390",55,121,",455",44,47,",936",8,82,66,29,14,26,48,250
Dearica Hamby,LAS,F,40,990,40,19,990,132,306,",431",9,41,",220",123,265,",464",83,128,",648",51,236,71,34,12,58,86,356
Sami Whitcomb,SEA,G,40,978,40,19,978,128,320,",400",89,231,",385",39,89,",438",44,53,",830",19,114,115,35,14,80,74,389
Crystal Dangerfield,DAL,G,35,973,35,32,973,119,280,",425",27,93,",290",92,187,",492",22,27,",815",27,101,108,33,7,41,44,287
Moriah Jefferson,PHO,G,39,972,39,36,972,165,381,",433",38,107,",355",127,274,",464",41,50,",820",9,77,140,43,7,63,84,409
Michaela Onyenwere,PHO,F,40,953,40,27,953,130,322,",404",35,111,",315",95,211,",450",60,79,",759",48,147,51,30,19,81,114,355
Tianna Hawkins,WAS,F,40,923,40,21,923,130,265,",491",29,87,",333",101,178,",567",39,52,",750",61,199,56,32,14,47,99,328
Dorka Juhász,MIN,F,38,919,38,27,919,94,199,",472",13,48,",271",81,151,",536",27,50,",540",64,246,99,36,23,47,70,228
Azura Stevens,LAS,F-C,35,910,35,29,910,149,369,",404",35,109,",321",114,260,",438",46,61,",754",54,207,40,41,32,52,90,379
Sophie Cunningham,PHO,G,31,898,31,31,898,111,269,",413",58,172,",337",53,97,",546",70,80,",875",17,88,65,20,11,46,99,350
Karlie Samuelson,LAS,G,34,888,34,23,888,82,177,",463",49,115,",426",33,62,",532",48,51,",941",11,101,68,22,3,30,81,261
NaLyssa Smith,IND,F,31,885,31,28,885,188,394,",477",19,67,",284",169,327,",517",84,124,",677",64,285,44,10,10,84,93,479
Alysha Clark,LVA,F,39,876,39,1,876,91,205,",444",51,132,",386",40,73,",548",27,33,",818",21,133,42,24,6,28,85,260
Rebecca Allen,CON,F-G,40,858,40,27,858,98,240,",408",40,115,",348",58,125,",464",19,27,",704",28,113,37,37,50,34,77,255
