===== wnba_2020_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Napheesa Collier,MIN,F,22,752,22,22,752,136,260,",523",20,49,",408",116,211,",550",63,76,",829",61,199,73,40,28,60,60,355
Arike Ogunbowale,DAL,G,22,748,22,22,748,173,419,",413",48,143,",336",125,276,",453",107,125,",856",10,61,76,35,0,47,54,501
Betnijah Laney-Hamilton,ATL,G-F,22,738,22,22,738,143,297,",481",30,74,",405",113,223,",507",62,75,",827",24,107,87,35,2,66,56,378
DeWanna Bonner,CON,G-F,22,732,22,22,732,148,351,",422",27,107,",252",121,244,",496",111,124,",895",34,172,65,37,12,52,47,434
Julie Allemand,IND,G,22,716,22,22,716,61,134,",455",44,92,",478",17,42,",405",22,30,",733",8,100,128,25,9,57,57,188
Kelsey Mitchell,IND,G,22,706,22,22,706,138,308,",448",56,144,",389",82,164,",500",62,73,",849",6,48,62,14,2,54,62,394
A'ja Wilson,LVA,C,22,697,22,22,697,166,346,",480",0,0,0,166,346,",480",118,151,",781",34,188,45,27,44,35,49,450
Courtney Vandersloot,CHI,G,22,693,22,22,693,107,218,",491",30,76,",395",77,142,",542",56,63,",889",11,77,219,26,8,54,46,300
Alyssa Thomas,CON,F,21,689,21,21,689,122,244,",500",0,1,",000",122,243,",502",81,118,",686",39,190,101,42,6,52,59,325
Kahleah Copper,CHI,G-F,22,688,22,22,688,132,266,",496",21,61,",344",111,205,",541",42,57,",737",21,120,47,21,5,54,52,327
Ariel Atkins,WAS,G,22,682,22,22,682,110,251,",438",44,107,",411",66,144,",458",62,70,",886",18,64,53,40,4,42,58,326
Chelsea Gray,LAS,G,22,679,22,22,679,122,276,",442",18,59,",305",104,217,",479",46,49,",939",15,81,116,34,2,60,38,308
Skylar Diggins,PHO,G,22,675,22,22,675,127,268,",474",46,116,",397",81,152,",533",90,100,",900",11,73,93,20,11,70,50,390
Leilani Mitchell,WAS,G,22,673,22,22,673,73,179,",408",29,95,",305",44,84,",524",34,39,",872",11,62,119,18,1,38,46,209
Candice Dupree,IND,F,22,665,22,22,665,116,251,",462",3,18,",167",113,233,",485",41,48,",854",27,125,55,16,9,28,27,276
Candace Parker,LAS,F-C,22,665,22,22,665,124,243,",510",19,48,",396",105,195,",538",57,78,",731",37,214,101,26,27,64,51,324
Myisha Hines-Allen,WAS,F,22,659,22,22,659,150,294,",510",26,61,",426",124,233,",532",48,58,",828",35,195,57,31,5,48,63,374
Elizabeth Williams,ATL,C-F,22,647,22,22,647,87,178,",489",0,0,0,87,178,",489",49,66,",742",49,125,31,17,30,25,57,223
Emma Meesseman,WAS,F,20,634,20,20,634,109,240,",454",13,45,",289",96,195,",492",29,35,",829",33,106,90,24,16,40,35,260
Alysha Clark,SEA,F,22,633,22,22,633,82,147,",558",35,67,",522",47,80,",588",20,25,",800",19,93,59,33,11,19,38,219
