===== wnba_2021_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Courtney Williams,ATL,G,32,1101,32,32,1101,228,546,",418",39,102,",382",189,444,",426",34,53,",642",46,218,128,34,16,58,53,529
Betnijah Laney-Hamilton,NYL,G-F,32,1069,32,32,1069,203,450,",451",34,109,",312",169,341,",496",96,122,",787",27,132,167,21,3,119,70,536
Kelsey Mitchell,IND,G,32,1059,32,32,1059,212,492,",431",70,209,",335",142,283,",502",75,85,",882",21,84,80,34,7,65,74,569
Skylar Diggins,PHO,G,32,1040,32,32,1040,177,393,",450",50,135,",370",127,258,",492",162,198,",818",17,101,168,34,25,82,71,566
DeWanna Bonner,CON,G-F,32,1022,32,32,1022,159,403,",395",44,139,",317",115,264,",436",124,139,",892",21,205,111,40,23,69,52,486
A'ja Wilson,LVA,C,32,1021,32,32,1021,207,466,",444",1,1,"1,000",206,465,",443",169,193,",876",63,298,98,28,40,46,49,584
Jackie Young,LVA,G,32,1016,32,32,1016,155,306,",507",5,20,",250",150,286,",524",75,90,",833",20,130,103,36,11,47,58,390
Kayla McBride,MIN,G,32,1010,32,32,1010,143,330,",433",61,161,",379",82,169,",485",91,100,",910",8,115,72,26,5,34,57,438
Napheesa Collier,MIN,F,29,1003,29,29,1003,175,397,",441",21,83,",253",154,314,",490",98,114,",860",50,192,92,38,37,68,82,469
Arike Ogunbowale,DAL,G,32,1003,32,32,1003,199,520,",383",80,213,",376",119,307,",388",121,140,",864",23,103,104,36,0,68,72,599
Brianna Turner,PHO,F-C,32,994,32,32,994,108,195,",554",0,1,",000",108,194,",557",33,46,",717",78,302,56,24,42,47,70,249
Kahleah Copper,CHI,G-F,32,986,32,32,986,173,377,",459",26,85,",306",147,292,",503",90,110,",818",37,133,56,27,8,60,96,462
Brittney Griner,PHO,C,30,983,30,30,983,248,431,",575",4,9,",444",244,422,",578",115,136,",846",71,284,80,12,58,66,72,615
Brionna Jones,CON,F,32,980,32,32,980,194,340,",571",0,3,",000",194,337,",576",82,103,",796",101,233,56,44,17,70,97,470
Courtney Vandersloot,CHI,G,32,977,32,32,977,129,298,",433",36,104,",346",93,194,",479",42,49,",857",16,109,275,54,12,97,66,336
Erica Wheeler,LAS,G,32,967,32,32,967,160,384,",417",33,92,",359",127,292,",435",81,98,",827",16,98,152,43,8,87,86,434
Jewell Loyd,SEA,G,31,962,31,31,962,193,459,",420",65,173,",376",128,286,",448",104,117,",889",24,125,117,46,6,71,64,555
Brittney Sykes,LAS,G,32,939,32,20,939,115,284,",405",11,42,",262",104,242,",430",61,79,",772",37,146,70,58,15,45,79,302
Sylvia Fowles*,MIN,C,31,934,31,31,934,208,325,",640",0,0,0,208,325,",640",80,106,",755",65,312,44,56,56,72,79,496
Breanna Stewart,SEA,F,28,934,28,28,934,194,442,",439",48,143,",336",146,299,",488",133,157,",847",34,268,76,33,48,46,51,569
Chelsea Gray,LVA,G,32,926,32,32,926,148,326,",454",27,71,",380",121,255,",475",32,36,",889",15,92,189,37,9,88,43,355
Ariel Atkins,WAS,G,30,918,30,30,918,161,396,",407",66,184,",359",95,212,",448",98,118,",831",34,83,79,48,16,61,96,486
Tina Charles,WAS,C,27,900,27,27,900,238,530,",449",50,137,",365",188,393,",478",105,128,",820",73,258,57,25,23,59,63,631
Sabrina Ionescu,NYL,G,30,899,30,26,899,113,298,",379",54,166,",325",59,132,",447",72,79,",911",21,170,183,18,16,96,54,352
Jasmine Thomas,CON,G,30,887,30,30,887,113,293,",386",42,105,",400",71,188,",378",49,56,",875",13,73,122,39,6,67,53,317
Briann January,CON,G,29,877,29,29,877,71,167,",425",27,71,",380",44,96,",458",33,38,",868",9,42,89,25,4,52,58,202
Diamond DeShields,CHI,G,32,860,32,22,860,123,313,",393",24,80,",300",99,233,",425",91,111,",820",13,112,75,38,12,60,101,361
Kayla Thornton,DAL,F,31,857,31,25,857,83,197,",421",22,63,",349",61,134,",455",45,53,",849",65,173,45,26,7,30,62,233
Jonquel Jones,CON,C,27,856,27,27,856,192,373,",515",42,116,",362",150,257,",584",97,121,",802",67,303,75,34,34,78,84,523
Natasha Cloud,WAS,G,27,852,27,27,852,81,208,",389",26,95,",274",55,113,",487",46,55,",836",11,98,174,37,4,59,62,234
Teaira McCowan,IND,C,32,848,32,23,848,138,257,",537",0,0,0,138,257,",537",85,132,",644",109,308,34,18,51,53,107,361
Sami Whitcomb,NYL,G,30,843,30,28,843,124,262,",473",76,179,",425",48,83,",578",27,33,",818",10,151,81,31,10,62,53,351
Kia Nurse,PHO,G,32,835,32,32,835,98,273,",359",59,167,",353",39,106,",368",49,62,",790",14,113,56,17,2,48,72,304
Riquna Williams,LVA,G,32,833,32,32,833,114,257,",444",63,151,",417",51,106,",481",46,50,",920",6,83,51,25,11,21,47,337
Sue Bird*,SEA,G,30,832,30,30,832,106,246,",431",67,160,",419",39,86,",453",20,24,",833",8,77,160,28,3,47,31,299
Nia Coffey,LAS,F,32,805,32,17,805,93,221,",421",50,120,",417",43,101,",426",28,36,",778",18,122,28,26,38,45,85,264
Marina Mabrey,DAL,G,32,773,32,8,773,158,390,",405",63,184,",342",95,206,",461",45,51,",882",23,124,93,32,10,68,79,424
Tiffany Mitchell,IND,G,28,765,28,25,765,107,254,",421",12,47,",255",95,207,",459",110,125,",880",25,80,56,17,1,54,53,336
Elizabeth Williams,ATL,C-F,32,761,32,32,761,80,155,",516",0,0,0,80,155,",516",27,53,",509",63,157,38,36,43,25,60,187
Odyssey Sims,ATL,G,30,753,30,21,753,105,284,",370",16,69,",232",89,215,",414",35,48,",729",15,75,108,37,2,49,45,261
Monique Billings,ATL,F,31,740,31,9,740,100,202,",495",0,2,",000",100,200,",500",52,77,",675",88,200,32,37,32,43,79,252
Mercedes Russell,SEA,C,30,740,30,28,740,92,149,",617",0,0,0,92,149,",617",36,47,",766",50,184,49,27,11,38,79,220
Leilani Mitchell,WAS,G,31,725,31,12,725,64,178,",360",50,140,",357",14,38,",368",19,23,",826",11,61,77,15,2,35,46,197
Amanda Zahui B.,LAS,C,30,714,30,27,714,106,247,",429",30,107,",280",76,140,",543",33,43,",767",24,154,29,18,35,54,99,275
Michaela Onyenwere,NYL,F,32,711,32,29,711,91,227,",401",37,113,",327",54,114,",474",56,67,",836",21,94,18,14,9,34,80,275
Dearica Hamby,LVA,F,29,710,29,0,710,127,233,",545",9,36,",250",118,197,",599",74,113,",655",33,193,49,31,4,43,57,337
Allisha Gray,DAL,G,25,694,25,16,694,106,242,",438",30,82,",366",76,160,",475",56,65,",862",33,130,42,25,21,34,53,298
Te'a Cooper,LAS,G,31,682,31,13,682,97,256,",379",24,74,",324",73,182,",401",63,84,",750",4,54,44,28,6,57,69,281
Isabelle Harrison,DAL,F,28,665,28,5,665,129,240,",538",0,1,",000",129,239,",540",47,60,",783",44,165,31,31,19,42,69,305
Kelsey Plum,LVA,G,26,665,26,0,665,128,293,",437",44,114,",386",84,179,",469",85,90,",944",11,66,93,26,1,43,56,385
Victoria Vivians,IND,G-F,31,661,31,8,661,77,231,",333",32,127,",252",45,104,",433",25,30,",833",14,95,40,35,4,41,57,211
Danielle Robinson,IND,G,24,659,24,24,659,88,211,",417",5,25,",200",83,186,",446",56,63,",889",8,85,89,38,2,42,50,237
Natisha Hiedeman,CON,G,32,644,32,5,644,78,195,",400",51,128,",398",27,67,",403",35,50,",700",7,60,60,27,6,30,61,242
Allie Quigley,CHI,G,26,635,26,11,635,121,270,",448",54,119,",454",67,151,",444",47,49,",959",17,69,60,13,7,30,37,343
Crystal Dangerfield,MIN,G,31,623,31,10,623,87,224,",388",28,78,",359",59,146,",404",36,42,",857",8,61,88,21,2,43,58,238
Bridget Carleton,MIN,F,32,618,32,10,618,55,137,",401",27,74,",365",28,63,",444",16,20,",800",23,74,47,25,6,27,47,153
Rebecca Allen,NYL,F-G,25,615,25,13,615,74,216,",343",48,126,",381",26,90,",289",33,37,",892",19,92,28,40,31,21,54,229
Candace Parker,CHI,F-C,23,615,23,23,615,116,253,",458",24,73,",329",92,180,",511",50,63,",794",32,193,91,19,27,56,37,306
Liz Cambage,LVA,C,25,595,25,24,595,140,258,",543",5,14,",357",135,244,",553",71,100,",710",39,206,33,22,41,44,74,356
Tiffany Hayes,ATL,G,21,595,21,19,595,105,240,",438",34,84,",405",71,156,",455",64,75,",853",14,67,63,33,4,31,65,308
Azura Stevens,CHI,F-C,30,587,30,11,587,90,180,",500",15,45,",333",75,135,",556",26,32,",813",49,137,23,24,20,28,54,221
Sydney Wiese,WAS,G,27,578,27,8,578,41,127,",323",23,79,",291",18,48,",375",14,18,",778",5,36,43,10,0,27,20,119
Damiris Dantas,MIN,C-F,24,572,24,20,572,66,175,",377",34,102,",333",32,73,",438",18,24,",750",15,97,55,10,7,44,48,184
Lindsay Allen,IND,G,32,571,32,8,571,65,152,",428",14,47,",298",51,105,",486",30,37,",811",9,48,96,17,3,31,34,174
Nneka Ogwumike,LAS,F,18,570,18,18,570,109,205,",532",11,30,",367",98,175,",560",32,40,",800",26,117,48,26,5,39,32,261
Kylee Shook,NYL,C,30,567,30,19,567,71,152,",467",24,61,",393",47,91,",516",4,5,",800",20,121,41,10,15,38,47,170
Katie Lou Samuelson,SEA,F,27,566,27,24,566,72,158,",456",26,74,",351",46,84,",548",19,26,",731",11,95,46,18,7,30,45,189
Shey Peddy,PHO,G,32,560,32,5,560,61,148,",412",27,81,",333",34,67,",507",23,25,",920",24,75,79,29,3,31,33,172
Theresa Plaisance,WAS,F,31,559,31,11,559,71,202,",351",35,116,",302",36,86,",419",22,27,",815",21,135,42,25,21,37,68,199
Jessica Breland,IND,F,26,544,26,18,544,67,180,",372",5,16,",313",62,164,",378",13,19,",684",37,163,53,16,39,48,51,152
Layshia Clarendon,TOT,G,22,543,22,20,543,92,178,",517",5,14,",357",87,164,",530",29,37,",784",12,65,119,13,0,66,60,218
Jordin Canada,SEA,G,29,542,29,3,542,56,144,",389",3,14,",214",53,130,",408",53,63,",841",16,66,88,21,4,31,29,168
Jantel Lavender,IND,F,27,539,27,14,539,76,188,",404",4,20,",200",72,168,",429",18,20,",900",46,105,41,0,4,37,48,174
Stephanie Talbot,SEA,F,30,538,30,9,538,69,143,",483",27,65,",415",42,78,",538",6,8,",750",12,86,48,14,13,49,58,171
Kristi Toliver,LAS,G,19,525,19,19,525,67,162,",414",28,83,",337",39,79,",494",16,19,",842",9,28,54,14,0,32,36,178
Sophie Cunningham,PHO,G,30,524,30,4,524,59,135,",437",32,78,",410",27,57,",474",19,27,",704",9,60,32,14,7,16,56,169
Tyasha Harris,DAL,G,32,522,32,3,522,48,143,",336",20,59,",339",28,84,",333",25,30,",833",9,51,85,13,10,32,40,141
