===== wnba_2025_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Jade Melbourne,WAS,G,43,1008,43,12,1008,90,225,",400",26,95,",274",64,130,",492",49,73,",671",17,80,124,26,8,72,101,255
Janelle Salaün,GSV,F,36,973,36,33,973,147,362,",406",63,172,",366",84,190,",442",50,62,",806",32,183,43,22,3,53,70,407
Ariel Atkins,CHI,G,34,970,34,34,970,162,365,",444",43,119,",361",119,246,",484",80,93,",860",23,114,122,53,24,84,102,447
Arike Ogunbowale,DAL,G,29,966,29,29,966,147,404,",364",48,158,",304",99,246,",402",108,116,",931",10,72,120,39,7,60,74,450
Julie Allemand,LAS,G,34,963,34,27,963,70,159,",440",28,101,",277",42,58,",724",15,19,",789",13,127,170,45,1,53,55,183
Kia Nurse,CHI,G,44,962,44,18,962,103,291,",354",61,182,",335",42,109,",385",49,62,",790",18,103,55,14,2,55,72,316
NaLyssa Smith,TOT,F,45,956,45,41,956,134,267,",502",8,27,",296",126,240,",525",66,108,",611",74,231,33,25,29,51,131,342
Breanna Stewart,NYL,F,31,948,31,31,948,188,408,",461",21,87,",241",167,321,",520",169,202,",837",31,203,108,42,42,60,59,566
Angel Reese,CHI,F,30,947,30,30,947,153,334,",458",4,22,",182",149,312,",478",130,172,",756",123,377,110,44,20,118,103,440
Temi Fagbenle,GSV,C,39,925,39,38,925,125,249,",502",12,62,",194",113,187,",604",26,36,",722",70,190,61,35,23,58,119,288
Elizabeth Williams,CHI,C-F,43,906,43,15,906,157,327,",480",0,0,0,157,327,",480",50,81,",617",79,223,78,31,39,56,62,364
Myisha Hines-Allen,DAL,F,40,882,40,20,882,112,249,",450",16,60,",267",96,189,",508",62,83,",747",58,240,116,32,18,87,101,302
Monique Akoa Makani,PHO,G,41,881,41,40,881,114,265,",430",49,123,",398",65,142,",458",38,41,",927",25,91,111,32,3,55,101,315
Shakira Austin,WAS,F-C,38,874,38,30,874,191,411,",465",2,15,",133",189,396,",477",97,146,",664",57,242,68,41,43,92,81,481
Bria Hartley,CON,G,38,867,38,32,867,106,293,",362",54,147,",367",52,146,",356",71,92,",772",11,75,117,29,0,69,95,337
Jessica Shepard,MIN,F,40,835,40,12,835,132,207,",638",0,1,",000",132,206,",641",56,103,",544",92,293,104,19,4,58,44,320
Natisha Hiedeman,MIN,G,44,833,44,0,833,151,307,",492",46,124,",371",105,183,",574",51,67,",761",11,82,123,32,9,54,71,399
Jonquel Jones,NYL,C,31,830,31,31,830,150,306,",490",53,125,",424",97,181,",536",70,91,",769",45,251,85,15,33,65,79,423
Alysha Clark,TOT,F,42,828,42,15,828,59,159,",371",26,96,",271",33,63,",524",19,26,",731",16,117,51,26,4,22,81,163
Rebecca Allen,CHI,F-G,44,821,44,17,821,82,240,",342",42,132,",318",40,108,",370",19,31,",613",16,113,57,23,23,39,62,225
Brittney Griner,ATL,C,39,810,39,25,810,156,301,",518",5,19,",263",151,282,",535",65,85,",765",36,203,33,5,47,59,75,382
Marine Johannes,NYL,G,44,803,44,5,803,100,252,",397",65,189,",344",35,63,",556",16,19,",842",13,84,70,25,12,52,46,281
Olivia Nelson-Ododa,CON,C,37,800,37,21,800,113,215,",526",1,2,",500",112,213,",526",78,111,",703",60,184,34,27,43,40,89,305
Kathryn Westbeld,PHO,F,43,792,43,24,792,77,215,",358",42,131,",321",35,84,",417",25,32,",781",30,109,39,36,24,24,66,221
Jordin Canada,ATL,G,28,783,28,26,783,108,273,",396",25,86,",291",83,187,",444",73,96,",760",8,91,159,48,9,62,46,314
Kennedy Burke,NYL,G-F,36,779,36,9,779,102,218,",468",46,111,",414",56,107,",523",41,54,",759",21,85,45,28,16,34,47,291
DeWanna Bonner,TOT,G-F,33,778,33,4,778,105,257,",409",40,120,",333",65,137,",474",75,86,",872",29,137,38,28,9,28,43,325
Dana Evans,LVA,G,44,777,44,1,777,107,275,",389",37,101,",366",70,174,",402",40,53,",755",8,47,96,17,5,37,57,291
Aneesah Morrow,CON,F,41,775,41,23,775,112,299,",375",18,75,",240",94,224,",420",72,95,",758",84,282,21,32,18,45,81,314
Maya Caldwell,ATL,G,41,760,41,16,760,83,195,",426",39,110,",355",44,85,",518",16,20,",800",33,127,74,37,7,40,65,221
Sophie Cunningham,IND,G,30,756,30,13,756,82,175,",469",51,118,",432",31,57,",544",42,48,",875",15,105,36,29,3,34,65,257
Kahleah Copper,PHO,G-F,28,752,28,28,752,153,361,",424",57,151,",377",96,210,",457",75,88,",852",11,81,43,30,5,62,73,438
Te-Hina PaoPao,ATL,G,43,720,43,15,720,96,218,",440",51,132,",386",45,86,",523",7,13,",538",10,69,105,20,9,44,48,250
Michaela Onyenwere,CHI,F,42,711,42,22,711,89,211,",422",24,68,",353",65,143,",455",43,51,",843",17,69,48,16,4,56,75,245
Jacy Sheldon,TOT,G,30,708,30,17,708,83,178,",466",36,91,",396",47,87,",540",22,25,",880",22,57,56,27,6,31,72,224
Maddy Siegrist,DAL,F,26,702,26,15,702,132,269,",491",26,81,",321",106,188,",564",40,58,",690",52,111,21,19,15,14,50,330
Tiffany Hayes,GSV,G,26,700,26,24,700,99,237,",418",41,101,",406",58,136,",426",64,80,",800",18,100,77,14,4,49,58,303
Kate Martin,GSV,G,42,687,42,4,687,86,266,",323",57,184,",310",29,82,",354",32,41,",780",20,112,40,17,4,34,48,261
DiJonai Carrington,TOT,G-F,31,680,31,14,680,107,277,",386",23,72,",319",84,205,",410",66,82,",805",48,124,48,34,13,59,78,303
Aziaha James,DAL,G,38,673,38,8,673,106,284,",373",32,112,",286",74,172,",430",41,55,",745",36,111,59,24,7,38,46,285
Aaliyah Nye,LVA,G-F,44,671,44,2,671,59,171,",345",37,118,",314",22,53,",415",14,17,",824",15,66,24,13,9,27,57,169
Odyssey Sims,TOT,G,24,671,24,21,671,89,215,",414",21,64,",328",68,151,",450",43,55,",782",10,57,90,17,1,33,48,242
Leïla Lacan,CON,G,25,665,25,15,665,104,218,",477",15,67,",224",89,151,",589",36,42,",857",17,59,92,55,4,47,83,259
Kayla Thornton,GSV,F,22,662,22,22,662,100,276,",362",40,142,",282",60,134,",448",68,82,",829",40,154,33,29,5,36,52,308
Stefanie Dolson,WAS,C,43,653,43,14,653,60,142,",423",27,75,",360",33,67,",493",14,20,",700",16,97,59,12,14,29,97,161
Carla Leite,GSV,G,37,637,37,6,637,86,222,",387",13,75,",173",73,147,",497",83,99,",838",9,48,75,26,3,57,55,268
Luisa Geiselsoder,DAL,C,28,628,28,24,628,76,179,",425",31,94,",330",45,85,",529",9,11,",818",24,133,44,22,19,28,67,192
Kitija Laksa,PHO,G,33,626,33,5,626,66,180,",367",38,120,",317",28,60,",467",26,32,",813",11,40,21,12,6,19,48,196
