===== wnba_2016_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Breanna Stewart,SEA,F,34,1179,34,34,1179,208,455,",457",45,133,",338",163,322,",506",160,192,",833",40,317,114,42,64,81,82,621
Elizabeth Williams,ATL,C-F,34,1179,34,34,1179,157,355,",442",0,1,",000",157,354,",444",92,133,",692",106,276,42,26,79,42,105,406
Jasmine Thomas,CON,G,34,1091,34,34,1091,150,368,",408",30,101,",297",120,267,",449",68,79,",861",25,140,172,43,12,86,88,398
Tina Charles,NYL,C,32,1077,32,32,1077,273,622,",439",17,49,",347",256,573,",447",125,154,",812",74,317,121,27,25,63,48,688
Sue Bird*,SEA,G,34,1076,34,34,1076,160,356,",449",72,162,",444",88,194,",454",44,56,",786",6,97,196,34,6,84,46,436
Karima Christmas-Kelly,DAL,F-G,34,1075,34,34,1075,128,320,",400",38,120,",317",90,200,",450",129,162,",796",82,200,71,41,23,51,93,423
Jewell Loyd,SEA,G,34,1075,34,34,1075,195,452,",431",40,132,",303",155,320,",484",131,147,",891",33,117,115,42,10,76,58,561
Odyssey Sims,DAL,G,34,1074,34,30,1074,153,433,",353",42,150,",280",111,283,",392",128,145,",883",20,86,131,37,7,86,78,476
DeWanna Bonner,PHO,G-F,34,1064,34,24,1064,154,363,",424",50,152,",329",104,211,",493",134,168,",798",42,182,83,44,21,56,55,492
Kristi Toliver,LAS,G,33,1060,33,33,1060,142,333,",426",81,191,",424",61,142,",430",72,81,",889",12,85,122,28,2,45,58,437
Candace Parker,LAS,F-C,34,1046,34,34,1046,190,430,",442",42,110,",382",148,320,",463",99,140,",707",33,250,166,47,33,98,74,521
Nneka Ogwumike,LAS,F,33,1043,33,33,1043,244,367,",665",16,26,",615",228,341,",669",146,168,",869",77,299,101,42,39,70,113,650
Moriah Jefferson,SAS,G,34,1034,34,34,1034,185,434,",426",33,88,",375",152,346,",439",69,89,",775",15,73,142,55,4,59,71,472
Tiffany Hayes,ATL,G,33,1016,33,33,1016,153,347,",441",32,117,",274",121,230,",526",156,194,",804",33,112,78,40,8,59,94,494
Maya Moore*,MIN,F,34,1009,34,34,1009,223,498,",448",65,161,",404",158,337,",469",145,167,",868",43,175,142,53,25,79,88,656
Sugar Rodgers,NYL,G,33,1008,33,33,1008,156,385,",405",86,208,",413",70,177,",395",80,95,",842",14,121,79,35,15,59,87,478
Alana Beard,LAS,G-F,34,997,34,34,997,100,214,",467",13,38,",342",87,176,",494",27,39,",692",31,111,73,58,20,43,96,240
Emma Meesseman,WAS,F,34,996,34,34,996,210,394,",533",30,67,",448",180,327,",550",68,85,",800",67,191,77,41,25,44,88,518
