===== wnba_2014_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Skylar Diggins,TUL,G,34,1192,34,34,1192,232,547,",424",33,116,",284",199,431,",462",186,221,",842",25,86,170,50,20,97,88,683
Maya Moore*,MIN,F,34,1181,34,34,1181,295,613,",481",62,185,",335",233,428,",544",160,181,",884",72,275,116,64,28,80,87,812
Odyssey Sims,TUL,G,34,1169,34,31,1169,201,495,",406",47,136,",346",154,359,",429",120,143,",839",28,96,142,44,10,71,87,569
Tina Charles,NYL,C,34,1119,34,34,1119,236,511,",462",0,0,0,236,511,",462",118,157,",752",89,320,74,44,30,77,57,590
Danielle Robinson,SAS,G,33,1091,33,33,1091,165,361,",457",0,7,",000",165,354,",466",96,102,",941",22,115,174,55,5,79,96,426
Ivory Latta,WAS,G,34,1079,34,33,1079,140,354,",395",81,215,",377",59,139,",424",75,90,",833",17,81,112,24,1,66,55,436
Glory Johnson,TUL,F,33,1070,33,33,1070,173,385,",449",0,3,",000",173,382,",453",139,183,",760",95,305,46,45,13,87,107,485
Sancho Lyttle,ATL,F,34,1064,34,34,1064,179,390,",459",3,11,",273",176,379,",464",53,80,",663",84,305,82,74,20,49,91,414
Candice Dupree,PHO,F,34,1062,34,34,1062,210,394,",533",0,0,0,210,394,",533",73,86,",849",41,257,80,29,18,48,47,493
Cappie Pondexter,NYL,G,34,1052,34,34,1052,161,415,",388",23,83,",277",138,332,",416",103,134,",769",22,114,132,34,4,89,41,448
Brittney Griner,PHO,C,34,1045,34,34,1045,219,379,",578",0,0,0,219,379,",578",93,116,",802",62,271,56,22,129,65,109,531
Erlana Larkins,IND,F,33,1044,33,33,1044,124,207,",599",0,0,0,124,207,",599",73,102,",716",99,303,84,64,27,74,105,321
Katie Douglas,CON,G-F,32,1040,32,32,1040,133,372,",358",63,177,",356",70,195,",359",89,105,",848",25,106,69,30,13,71,56,418
Lindsay Whalen*,MIN,G,34,1040,34,34,1040,180,375,",480",1,10,",100",179,365,",490",117,152,",770",21,142,188,30,2,62,55,478
Diana Taurasi,PHO,G,33,1018,33,33,1018,171,377,",454",62,170,",365",109,207,",527",132,151,",874",10,125,185,22,10,87,99,536
Camille Smith,SEA,F,33,1017,33,33,1017,146,326,",448",27,80,",338",119,246,",484",106,133,",797",40,143,53,34,14,80,84,425
Candace Parker,LAS,F-C,30,995,30,29,995,216,461,",469",19,62,",306",197,399,",494",132,156,",846",29,214,128,54,41,78,51,583
DeWanna Bonner,PHO,G-F,34,994,34,34,994,129,281,",459",24,86,",279",105,195,",538",71,91,",780",35,139,79,49,15,47,43,353
Erika de Souza,ATL,F-C,33,986,33,33,986,192,352,",545",0,0,0,192,352,",545",72,102,",706",97,286,39,37,47,58,93,456
Crystal Langhorne,SEA,F-C,34,983,34,34,983,180,315,",571",2,3,",667",178,312,",571",75,114,",658",57,253,34,21,12,68,76,437
Angel McCoughtry,ATL,F-G,31,972,31,29,972,206,491,",420",31,105,",295",175,386,",453",131,162,",809",53,162,113,74,12,116,93,574
Tiffany Hayes,ATL,G,34,966,34,32,966,143,307,",466",40,112,",357",103,195,",528",111,146,",760",31,101,86,34,9,40,83,437
Sue Bird*,SEA,G,33,963,33,33,963,129,334,",386",39,113,",345",90,221,",407",54,65,",831",6,72,133,26,1,75,32,351
Jantel Lavender,LAS,F,34,963,34,27,963,174,330,",527",1,5,",200",173,325,",532",54,68,",794",66,213,51,17,27,66,66,403
Courtney Paris,TUL,C,34,940,34,34,940,139,242,",574",0,0,0,139,242,",574",35,71,",493",136,347,37,28,36,36,115,313
Tamera Young,CHI,F,34,937,34,33,937,99,226,",438",0,0,0,99,226,",438",30,54,",556",37,172,41,23,5,27,88,228
Emma Meesseman,WAS,F,34,931,34,34,931,146,281,",520",0,2,",000",146,279,",523",50,55,",909",80,218,86,48,34,61,84,342
Shavonte Zellous,IND,G,34,931,34,33,931,131,319,",411",25,82,",305",106,237,",447",87,111,",784",22,94,71,24,16,55,100,374
Alyssa Thomas,CON,F,34,927,34,28,927,127,291,",436",2,6,",333",125,285,",439",87,115,",757",63,173,51,35,6,58,70,343
